horizon_minutes,signal_count,avg_gross_return,avg_net_return,median_net_return,hit_rate,confirmed_signal_count,confirmed_avg_net_return
1,558,-0.0001035987974919805,-0.0006035227292630468,-0.0004999550067490642,0.2885304659498208,0,0.0
3,558,-0.0005389614440012077,-0.0010387547865666972,-0.0004999550067490642,0.34050179211469533,0,0.0
5,555,-0.000678612421733037,-0.0011783638752885556,-0.0004999550067490642,0.36936936936936937,0,0.0
10,553,-4.749467871694847e-05,-0.0005474354391993432,-0.0004999550067490642,0.41952983725135623,0,0.0
15,547,-0.0002090718057071815,-0.0007089641003213543,-0.0004999550067491752,0.40036563071297987,0,0.0
