epoch,train_loss,val_auc,val_ap,val_f1
1,0.49278668351634103,0.5180416116117299,0.2390973355034738,0.331716939261938
2,0.46757911756537107,0.517885117856806,0.23862220480495033,0.331716939261938
3,0.4668402536792526,0.5176728496809031,0.23904743717048763,0.331716939261938
4,0.4662079139811894,0.5175911315034285,0.23883991203112592,0.331716939261938
5,0.4656693231656041,0.5176953881606489,0.23859965558277096,0.331716939261938
6,0.4654203606647435,0.5176558199113457,0.238365515426735,0.331716939261938
7,0.46477004289464396,0.5176357759259032,0.23863925765503985,0.331716939261938
8,0.46431582878998534,0.5175525527566162,0.23879746947458746,0.331716939261938
9,0.4645559628896708,0.5176492023489222,0.23849032265103026,0.331716939261938
10,0.46416527343564157,0.5175080801639154,0.238583159551002,0.331716939261938
