exit_standard,avg_saved_drawdown,avg_return_after_exit_1d,avg_return_after_exit_3d,false_exit_rate,avg_exit_delay_from_peak,avg_return
Breadth Breakdown,0.006935732513079371,,,0.04211013419713096,2.4530310041647385,0.00992667801221775
Coherence Breakdown,0.006916767499467638,,,0.03814477676636324,2.301257043779801,0.008309683362524668
Composite Structural Exit,0.006156318481292675,,,0.03682008368200837,2.196234309623431,0.00867414169103869
Lifecycle Exit,0.006570863165458368,,,0.03954802259887006,2.28335506301608,0.008989064594565669
No Signal Exit,0.008256223502027314,,,0.04702351175587794,2.705352676338169,0.011172973107858957
Relative Strength Exit,0.005157806314606268,,,0.034201321414691024,2.005829770695686,0.008402171143053866
Rotation-out Exit,0.007236738519199895,,,0.04258306036499766,2.5091249415067853,0.009607961394459612
