entry_standard,avg_time_from_birth_to_entry,median_time_from_birth_to_entry,avg_missed_return,false_confirmation_rate,avg_return_after_entry,avg_holding_days
15m Confirmation,2.0,2.0,0.0025921580203018555,0.3954001839926403,0.00834561403004672,2.2386384544618214
Cross-resolution Confirmation,3.0,3.0,0.0013608347635405108,0.4071833648393195,0.009854914425104125,2.2816635160680527
Expansion Entry,3.0,3.0,0.0028601563516497197,0.38377573803026543,0.008207392242592836,2.3825353510295213
Rotation-in Entry,2.0,2.0,0.003512987565961488,0.44154676258992803,0.014341629835500379,2.8803956834532376
