entry_standard,total_return,annualized_return,sharpe,max_drawdown,win_rate,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
Rotation-in Entry,0.17125015509059616,0.9906148065751815,3.8364404102350314,-0.03678848012132017,0.558063725490196,2.9189635854341733,0.023935574229691878,0.0,0.0
Cross-resolution Confirmation,0.2168810546084397,1.2947410155879546,3.680336373917647,-0.06315476047629554,0.5879096089981567,2.946032981839057,0.051083385735105895,0.026394373311753972,0.040615597162911944
15m Confirmation,0.16978111150884648,0.9467705718594831,2.9632382919319835,-0.0682433239902066,0.6086980410185838,2.904910018680327,0.05010783074291935,0.025155653441322434,0.04346517215619718
Expansion Entry,0.15698593810193967,0.8671539819994797,2.6168184325168,-0.08118974922615878,0.6211540536864849,2.809837416343133,0.05405044013511181,0.010859992565583676,0.02010272843628809
Birth Entry,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Emergence Entry,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
