entry_standard,avg_time_from_birth_to_entry,median_time_from_birth_to_entry,avg_missed_return,false_confirmation_rate,avg_return_after_entry,avg_holding_days
15m Confirmation,2.0,2.0,0.0026908350299149264,0.37193683064076966,0.008653252911954819,2.208023234706843
Cross-resolution Confirmation,3.0,3.0,0.0014889579408936331,0.3938939876381345,0.00918576302300932,2.2669039145907472
Expansion Entry,3.0,3.0,0.0027489183417814603,0.383692458374143,0.008432875231724495,2.334720861900098
Rotation-in Entry,2.0,2.0,0.0022037673505141586,0.36093943139678614,0.008650728402082957,2.3174701277297074
