exit_standard,total_return,annualized_return,sharpe,max_drawdown,win_rate,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
Breadth Breakdown,0.1265863134437944,0.7328273466559895,3.238521507753641,-0.04677767945270924,0.42717337611808553,1.9183448381353758,0.033674613705191335,0.025238973165073477,0.04184137860304808
Rotation-out Exit,0.12736249082760534,0.7361768648405959,3.237944467170667,-0.04711218439710122,0.4279279810643538,2.051382787597309,0.0357338997073695,0.02579487917105338,0.04082987250072196
Lifecycle Exit,0.12288575389625175,0.7040036828382584,3.163677680344908,-0.049221844250366374,0.423204061755274,1.827226730640331,0.03165551203717876,0.007189124852776145,0.010518887946945254
No Signal Exit,0.12419227660109781,0.7237706057728813,3.1175515126873945,-0.04783178548046309,0.41451533766250853,2.2126161182639947,0.03897815817315256,0.034533662490000186,0.05408418490798146
Relative Strength Exit,0.12035024445503541,0.695573053229345,3.036212835832698,-0.04654833977668182,0.41830280540804315,1.6025222690474257,0.028077146473791278,0.01123046067534051,0.017801802012437473
Composite Structural Exit,0.10809408503161287,0.5961480362274597,2.83619853995572,-0.04892761395272781,0.4141185624278388,1.7421097071334948,0.030254976843255597,0.0198129605334842,0.036368338948266965
Coherence Breakdown,0.09276448544705988,0.4976599141069889,2.4616933753411914,-0.048339170271151526,0.3915008809721726,1.8621860773632541,0.03250547805169959,0.003724966473667631,0.006986892657053102
