graph_layer,factor_name,label_horizon,label_variant,sample_size,rank_ic,top_decile_mean,bottom_decile_mean,top_bottom_spread,top_decile_hit_rate,layer_role,score,confidence_bucket,research_action
flow_alignment_graph,community_member_count,15m,member_weight,27671,0.0492712471293727,5.069033288440095e-05,-0.001145160694185,0.0011958510270694,0.5059631369714492,event_alignment_layer,0.218864877648784,strong_sample,keep_for_next_round
large_trade_alignment_graph,community_member_count,1m,equal_weight,45,0.1182215772964281,-2.2529983706075013e-05,-0.0014910528023094,0.0014685228186034,0.5,sparse_event_flag,0.19657385352338438,ignore,ignore_sparse
large_trade_alignment_graph,community_member_count,1m,member_weight,45,0.1182215772964281,-2.2529983706075013e-05,-0.0014910528023094,0.0014685228186034,0.5,sparse_event_flag,0.19657385352338438,ignore,ignore_sparse
large_trade_alignment_graph,community_member_count,1m,top10_member,45,0.1182215772964281,-2.2529983706075013e-05,-0.0014910528023094,0.0014685228186034,0.5,sparse_event_flag,0.19657385352338438,ignore,ignore_sparse
dtw_return_similarity_graph,edge_density_feature,30m,top5_member,4062,0.0503004067460626,0.0004569978353567,-0.0012004947162148,0.0016574925515716,0.5049261083743842,weak_pair_candidate,0.181526463047254,usable,keep_for_next_round
large_trade_alignment_graph,community_mean_volume_z_12,5m,top5_member,45,-0.1014492753623188,-0.0003549039335795,-0.0023185603704544,0.0019636564368748,0.25,sparse_event_flag,0.16868557712711615,ignore,ignore_sparse
dtw_return_similarity_graph,edge_density_feature,30m,equal_weight,4062,0.0466272559348987,0.0004569978353567,-0.0010546610522971,0.0015116588876539,0.5049261083743842,weak_pair_candidate,0.1682706244144595,usable,keep_for_next_round
dtw_return_similarity_graph,edge_density_feature,30m,member_weight,4062,0.0466272559348987,0.0004569978353567,-0.0010546610522971,0.0015116588876539,0.5049261083743842,weak_pair_candidate,0.1682706244144595,usable,keep_for_next_round
dtw_return_similarity_graph,edge_density_feature,30m,top10_member,4062,0.045091856043955,0.0004569978353567,-0.0009940298917528,0.0014510277271095,0.5049261083743842,weak_pair_candidate,0.162729601397027,usable,keep_for_next_round
dtw_trade_flow_similarity_graph,community_mean_volume_z_12,15m,equal_weight,1997,0.0480193516185633,0.000476446796605,-0.0003087550499248,0.0007852018465299,0.5728643216080402,pair_flow_leadlag_candidate,0.15849245509155424,watch,watch
dtw_trade_flow_similarity_graph,community_mean_volume_z_12,15m,member_weight,1997,0.0480193516185633,0.000476446796605,-0.0003087550499248,0.0007852018465299,0.5728643216080402,pair_flow_leadlag_candidate,0.15849245509155424,watch,watch
flow_alignment_graph,community_member_count,15m,top10_member,27513,0.0352145088609122,-0.0001316532089958,-0.0010934759283566,0.0009618227193608,0.4783715012722646,event_alignment_layer,0.15633670426722202,strong_sample,keep_for_next_round
dtw_trade_flow_similarity_graph,community_mean_volume_z_12,15m,top10_member,1997,0.046100076097532,0.0004823429707425,-0.0002529520567955,0.0007352950275381,0.5527638190954773,pair_flow_leadlag_candidate,0.15215770297449777,watch,watch
flow_alignment_graph,community_member_count,15m,top5_member,27318,0.0323424515588867,-0.000281925059516,-0.0010074781635143,0.0007255531039982,0.4818747711461003,event_alignment_layer,0.14348614782660138,strong_sample,keep_for_next_round
dtw_trade_flow_similarity_graph,community_mean_volume_z_12,15m,top5_member,1997,0.0415432956893889,0.0004392588772427,-0.0002265481745189,0.0006658070517616,0.5276381909547738,pair_flow_leadlag_candidate,0.1371176141383024,watch,watch
dtw_trade_flow_similarity_graph,edge_density_feature,30m,top5_member,1997,0.0403115616399714,-0.0005084093320394,-0.0009948329715605,0.000486423639521,0.4773869346733668,pair_flow_leadlag_candidate,0.1330521582974415,watch,watch
flow_alignment_graph,community_member_count,30m,top10_member,27048,0.0296413855739203,-7.20969155496084e-05,-0.0010752831379194,0.0010031862223698,0.4940828402366864,event_alignment_layer,0.13137510305303815,strong_sample,keep_for_next_round
dtw_trade_flow_similarity_graph,edge_density_feature,30m,top10_member,1997,0.03878502153113,-0.0005084093320394,-0.0007564889978527,0.0002480796658133,0.4773869346733668,pair_flow_leadlag_candidate,0.12801366690822266,watch,watch
dtw_trade_flow_similarity_graph,edge_density_feature,30m,equal_weight,1997,0.037928193442621,-0.0005084093320394,-0.0007466106230919,0.0002382012910524,0.4773869346733668,pair_flow_leadlag_candidate,0.1251856239888198,watch,watch
