graph_layer,factor_name,label_horizon,label_variant,sample_size,rank_ic,top_decile_mean,bottom_decile_mean,top_bottom_spread,top_decile_hit_rate
dtw_return_similarity_graph,edge_density_feature,1m,equal_weight,4313,0.013729875698071062,1.452677062453133e-05,-0.00015629892771713518,0.00017082569834166652,0.5127610208816705
dtw_return_similarity_graph,edge_density_feature,5m,equal_weight,4296,0.0171989647290122,-0.00024760846762109237,-0.00041897231650847734,0.00017136384888738498,0.48484848484848486
dtw_return_similarity_graph,edge_density_feature,15m,equal_weight,4216,0.026008499167763186,-0.0010509256632501905,-0.0009393258089027245,-0.00011159985434746602,0.4513064133016627
dtw_return_similarity_graph,edge_density_feature,30m,equal_weight,4062,0.0466272559348987,-0.001110877795521889,-0.0010048742782833428,-0.00010600351723854618,0.4408866995073892
dtw_return_similarity_graph,edge_density_feature,1m,member_weight,4313,0.013729875698071062,1.452677062453133e-05,-0.00015629892771713518,0.00017082569834166652,0.5127610208816705
dtw_return_similarity_graph,edge_density_feature,5m,member_weight,4296,0.0171989647290122,-0.00024760846762109237,-0.00041897231650847734,0.00017136384888738498,0.48484848484848486
dtw_return_similarity_graph,edge_density_feature,15m,member_weight,4216,0.026008499167763186,-0.0010509256632501905,-0.0009393258089027245,-0.00011159985434746602,0.4513064133016627
dtw_return_similarity_graph,edge_density_feature,30m,member_weight,4062,0.0466272559348987,-0.001110877795521889,-0.0010048742782833428,-0.00010600351723854618,0.4408866995073892
dtw_return_similarity_graph,edge_density_feature,1m,top5_member,4313,0.018356479802854278,1.452677062453133e-05,-0.00016430485930811337,0.0001788316299326447,0.5127610208816705
dtw_return_similarity_graph,edge_density_feature,5m,top5_member,4296,0.018063813486576884,-0.00024760846762109237,-0.0003832564554071786,0.00013564798778608624,0.48484848484848486
dtw_return_similarity_graph,edge_density_feature,15m,top5_member,4216,0.03370868462676687,-0.0010509256632501905,-0.0010232621156015453,-2.766354764864522e-05,0.4513064133016627
dtw_return_similarity_graph,edge_density_feature,30m,top5_member,4062,0.0503004067460626,-0.001110877795521889,-0.001150707942201056,3.9830146679167107e-05,0.4408866995073892
dtw_return_similarity_graph,edge_density_feature,1m,top10_member,4313,0.013158435388760192,1.452677062453133e-05,-0.0001452821727172161,0.00015980894334174743,0.5127610208816705
dtw_return_similarity_graph,edge_density_feature,5m,top10_member,4296,0.014530912748043866,-0.00024760846762109237,-0.0003820823614429263,0.00013447389382183396,0.48484848484848486
dtw_return_similarity_graph,edge_density_feature,15m,top10_member,4216,0.026709812852326265,-0.0010509256632501905,-0.0009169085737351216,-0.00013401708951506892,0.4513064133016627
dtw_return_similarity_graph,edge_density_feature,30m,top10_member,4062,0.045091856043955006,-0.001110877795521889,-0.0009442431177389916,-0.00016663467778289733,0.4408866995073892
dtw_return_similarity_graph,edge_density_feature,1m,core_weighted,4313,0.012442617533377191,9.974004077030561e-06,-0.00016612624829257324,0.0001761002523696038,0.5127610208816705
dtw_return_similarity_graph,edge_density_feature,5m,core_weighted,4296,0.01823082845512044,-0.00024164503404399502,-0.00041448732660878695,0.00017284229256479193,0.48717948717948717
