exit_standard,avg_saved_drawdown,avg_return_after_exit_1d,avg_return_after_exit_3d,avg_return_after_exit_5d,avg_return_after_exit_10d,avg_return_if_held_to_5d,avg_return_if_held_to_10d,avg_saved_drawdown_vs_hold_5d,false_exit_rate,avg_exit_delay_from_peak,avg_return
Breadth Breakdown,0.01308250524727043,0.003541366591947979,0.009504508806370535,0.01612018866701817,0.0353291369852624,0.01612018866701817,0.0353291369852624,0.017702838163481806,0.6097689075630253,3.4910714285714284,0.01088489334803679
Coherence Breakdown,0.012841503516812536,0.004224099046801699,0.01107360091608386,0.01711308839679334,0.03766642485906918,0.01711308839679334,0.03766642485906918,0.017296426172019444,0.610267155578837,3.473022524882137,0.00990545872203871
Composite Structural Exit,0.012231793435949649,0.004016469975207523,0.009152781906753428,0.01620583454023846,0.03610904852343186,0.01620583454023846,0.03610904852343186,0.018058259745283977,0.5985915492957746,3.3380281690140845,0.010194324800797685
Lifecycle Exit,0.012691047285744566,0.0036025473202947983,0.008960026983351126,0.015921616578914412,0.03564306123232087,0.015921616578914412,0.03564306123232087,0.01811439171400668,0.5984575835475578,3.407712082262211,0.01065710177320629
No Signal Exit,0.013969430702512067,0.0036777923674901963,0.010529163528731789,0.016135483612235848,0.0350675015717901,0.016135483612235848,0.0350675015717901,0.018019569889162496,0.6041549691184728,3.732734418865806,0.011957219410156617
Relative Strength Exit,0.011229080767068246,0.0032915671979045196,0.009247221096418063,0.016953488561998638,0.03674015913459671,0.016953488561998638,0.03674015913459671,0.018068008873539525,0.6070908207867897,3.1728994657600778,0.010089212262033737
Rotation-out Exit,0.013295649365250885,0.003104645845309784,0.009353757345317423,0.015845789971568866,0.034777487933186337,0.015845789971568866,0.034777487933186337,0.017798415166362255,0.5859078590785908,3.6130081300813006,0.011301363355553264
