entry_standard,total_return,annualized_return,sharpe,max_drawdown,win_rate,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
15m Confirmation,0.17013528459483832,0.9678906371262932,2.9430458660877226,-0.06316365775622505,0.6047476630244155,2.830522467081401,0.04882477581614468,0.018602438076687447,0.030839782413270317
Rotation-in Entry,0.15946205418316955,0.8827249182720461,2.701015854086326,-0.0869906597065635,0.6287788122645239,2.77252723539088,0.04429550792403263,0.02042136238345306,0.03449379652285333
Expansion Entry,0.16058652626992875,0.8945851624999571,2.6731641741542163,-0.07747075316571622,0.6223561409085623,2.729246704280289,0.05300712102155222,0.04469499930969904,0.07332347523873062
Birth Entry,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Cross-resolution Confirmation,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Emergence Entry,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
