graph_layer,baseline_edge_count,current_edge_count,edge_count_delta,edge_count_delta_ratio
dtw_return_similarity_graph,364248,18555,-345693,-0.9490594320353166
dtw_trade_flow_similarity_graph,480504,12923,-467581,-0.9731053227444516
flow_alignment_graph,8449084,8415557,-33527,-0.003968122461559198
large_trade_alignment_graph,199,170,-29,-0.14572864321608037
return_corr_graph,5230407,7091895,1861488,0.3558973517739632
volume_expansion_graph,268861,262319,-6542,-0.02433227578562902
