layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
qualification-6d-candidate_2025-01-14_2025-01-14_1435_flow_alignment_graph_community_001,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1435,2025-01-14,2025-01-14 22:35:00,1435,5,flow_alignment_graph,C001,21,"AAOI,AAPL,ABBV,ABR,ADBE,ADTX,AES,AFRM,AGL,AI,AISP,AIV,ALLT,ALT,ALV,AMAT,AMC,AMD,ANGI,APA,APLD"
qualification-6d-candidate_2025-01-14_2025-01-14_1435_flow_alignment_graph_community_002,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1435,2025-01-14,2025-01-14 22:35:00,1435,5,flow_alignment_graph,C002,11,"AAL,ABAT,ABSI,ACMR,AEHR,AEP,AG,AGNC,AIFU,ALAB,ANET"
qualification-6d-candidate_2025-01-14_2025-01-14_1435_flow_alignment_graph_community_003,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1435,2025-01-14,2025-01-14 22:35:00,1435,5,flow_alignment_graph,C003,9,"AA,ABCL,ABEV,ABNB,ACHR,AGI,AMPG,APLT,APM"
qualification-6d-candidate_2025-01-14_2025-01-14_1435_flow_alignment_graph_community_004,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1435,2025-01-14,2025-01-14 22:35:00,1435,5,flow_alignment_graph,C004,7,"ADM,AEON,AIFF,AIRE,ALK,AMZN,ANVS"
qualification-6d-candidate_2025-01-14_2025-01-14_1435_flow_alignment_graph_community_005,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1435,2025-01-14,2025-01-14 22:35:00,1435,5,flow_alignment_graph,C005,2,"AMPX,ANF"
qualification-6d-candidate_2025-01-14_2025-01-14_1440_flow_alignment_graph_community_001,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,flow_alignment_graph,C001,20,"AA,AAL,ABCL,ABEV,ACHR,AEHR,AEON,AEP,AGI,AIFU,AKBA,ALB,ALGT,ALK,AOS,APD,APH,APLT,APM,APO"
qualification-6d-candidate_2025-01-14_2025-01-14_1440_flow_alignment_graph_community_002,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,flow_alignment_graph,C002,16,"ABBV,ACXP,ADI,ADP,ADTX,AIOT,AISP,AKAM,ALGS,ALKT,ALLT,ALT,AMCR,AMD,AMRN,APLE"
qualification-6d-candidate_2025-01-14_2025-01-14_1440_flow_alignment_graph_community_003,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,flow_alignment_graph,C003,15,"ABAT,ABNB,ABSI,ACMR,ADM,ADTN,AG,AGNC,ALAB,AMGN,AMPG,AMR,AMSC,AMZN,ANET"
qualification-6d-candidate_2025-01-14_2025-01-14_1440_flow_alignment_graph_community_004,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,flow_alignment_graph,C004,13,"AAOI,ABR,ADBE,AES,AGL,AI,AIV,AJG,ALHC,ALL,AMAT,AMC,APA"
qualification-6d-candidate_2025-01-14_2025-01-14_1440_flow_alignment_graph_community_005,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,flow_alignment_graph,C005,7,"AAPL,ACN,AEG,AGX,ALC,ALV,ANGI"
qualification-6d-candidate_2025-01-14_2025-01-14_1440_flow_alignment_graph_community_006,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,flow_alignment_graph,C006,7,"AAP,ACON,AFRM,AGEN,AMLX,AMTM,APLD"
qualification-6d-candidate_2025-01-14_2025-01-14_1440_flow_alignment_graph_community_007,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,flow_alignment_graph,C007,4,"AIFF,AIRE,AMPX,ANF"
qualification-6d-candidate_2025-01-14_2025-01-14_1440_flow_alignment_graph_community_008,qualification-6d-candidate_2025-01-14,qualification-6d-candidate_2025-01-14_2025-01-14_1440,2025-01-14,2025-01-14 22:40:00,1440,10,flow_alignment_graph,C008,2,"ALEC,ALLR"
