signal_date,execution_date,gross_return,turnover,cost,net_return,benchmark_return,n_positions,equity_curve,benchmark_curve
2026-04-30,2026-05-01,0.1048814304559991,0.9999999999999999,0.0009999999999999998,0.1038814304559991,0.0031737193101639694,15,1.1038814304559992,1.003173719310164
2026-05-01,2026-05-04,0.0286521524542019,2.0000000000000004,0.0020000000000000005,0.026652152454201897,-0.0036077201043374085,15,1.133302246631875,0.9995545493148658
2026-05-04,2026-05-05,0.008306833505189192,0.6792222157274497,0.0006792222157274497,0.007627611289461742,0.007896142231708758,15,1.1419466356426566,1.0074471742046074
2026-05-05,2026-05-06,-0.0012642384317423927,1.3549747095503872,0.0013549747095503873,-0.00261921314129278,0.01385860866086297,15,1.1389556340079263,1.0214089903384014
2026-05-06,2026-05-07,-0.023588102576063592,2.0,0.002,-0.025588102576063594,-0.0030118728127759287,15,1.109811920415346,1.0183326363696763
2026-05-07,2026-05-08,0.021083448011474867,1.9343677366839818,0.0019343677366839818,0.019149080274790887,0.008160686421079255,15,1.1310637979692995,1.0266429296874402
2026-05-08,2026-05-11,0.0032950356384380906,1.4503920890238255,0.0014503920890238256,0.001844643549414265,0.0022642914102741774,15,1.1331502075081994,1.0289675484545502
2026-05-11,2026-05-12,-0.011706528707095747,1.4146058751944515,0.0014146058751944514,-0.013121134582290198,-0.001352813830473698,15,1.1182819911335342,1.0275755469238923
2026-05-12,2026-05-13,-0.0013294156200405393,1.9999999999999996,0.0019999999999999996,-0.003329415620040539,0.005560797075141233,15,1.1145587656046443,1.0332896860197134
2026-05-13,2026-05-14,0.01726980840763745,2.0,0.002,0.01526980840763745,0.007779853929373859,15,1.13157786441448,1.0413285288436753
2026-05-14,2026-05-15,-0.05110393894138035,2.0,0.002,-0.05310393894138035,-0.012030798570200396,15,1.071486622595196,1.028800515067754
2026-05-15,2026-05-18,-0.018763042694469156,2.0000000000000004,0.0020000000000000005,-0.020763042694469158,-0.0007036038307429715,15,1.0492393001036995,1.028076647084282
2026-05-18,2026-05-19,-0.010299393666163555,1.7999999999999998,0.0018,-0.012099393666163555,-0.006458540331209295,15,1.0365441407617348,1.0214367725955136
2026-05-19,2026-05-20,0.0011232946347071674,1.5999999999999999,0.0015999999999999999,-0.00047670536529283245,0.010166426628926084,15,1.0360500146084708,1.0318211346001929
2026-05-20,2026-05-21,0.007037605676952217,2.0000000000000004,0.0020000000000000005,0.005037605676952217,0.002023608768971341,15,1.041269226043669,1.0339091368961797
2026-05-21,2026-05-22,0.0017901158947828749,1.9324838468172947,0.0019324838468172947,-0.00014236795203441985,0.003823664564750917,15,1.0411209826764407,1.0378624586261018
2026-05-22,2026-05-26,-0.015027437604530552,1.9765592402199776,0.0019765592402199777,-0.01700399684475053,0.006545076612997969,15,1.0234177647720069,1.0446553479315641
2026-05-26,2026-05-27,-0.020664957725949916,1.5821387012365606,0.0015821387012365606,-0.022247096427186478,0.0,15,1.0006496910738283,1.0446553479315641
2026-05-27,2026-05-28,0.011316147553330998,1.6331979945173278,0.001633197994517328,0.00968294955881367,0.005556576689411674,15,1.0103389315585387,1.05046005548635
2026-05-28,2026-05-29,0.08226417903975446,1.5492429606084452,0.0015492429606084454,0.08071493607914601,0.0023322507837659767,15,1.0918883738375587,1.0529099917740727
2026-05-29,2026-06-01,-0.010471037221842092,1.3843864004144721,0.0013843864004144722,-0.011855423622256564,0.002696956585801269,15,1.0789435746174976,1.0557496443106438
2026-06-01,2026-06-02,-0.011721589812566472,1.2091724553039933,0.0012091724553039934,-0.012930762267870466,0.0013580088845568383,15,1.0649920117536724,1.0571833617074853
2026-06-02,2026-06-03,-0.015831418563740884,2.0,0.002,-0.017831418563740882,-0.006952175155563456,15,1.0460016934250522,1.0498336378053474
2026-06-03,2026-06-04,-0.013700905548854853,2.0,0.002,-0.01570090554885485,0.00379212843223109,15,1.0295785196326432,1.0538147417923818
2026-06-04,2026-06-05,0.04004782858444374,2.0000000000000004,0.0020000000000000005,0.038047828584443735,-0.025757876381252487,15,1.0687517466618512,1.0266707119445522
