metric,value
total_return,0.06875174666185124
benchmark_total_return,0.026670711944552172
excess_total_return,0.03992815906604341
annualized_return,0.9546928395144001
benchmark_annualized_return,0.3038457739963696
annualized_volatility,0.5108879158423395
sharpe,1.560574972963645
max_drawdown,-0.1237334041352206
hit_rate,0.4
avg_turnover,1.7000297690119266
avg_positions,15.0
days,25.0
