run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,summary_edge_count,summary_node_count,summary_avg_weight,summary_median_weight,summary_p90_weight,threshold,top_k_per_symbol,effective_lookback_minutes,active_node_count,average_degree,degree_p50,degree_p95,max_degree,average_edge_weight,edge_weight_p50,edge_weight_p90,support_points_p50,support_points_p90,community_count,community_size_p50,community_size_p95,community_size_max,singleton_community_count,largest_community_ratio,has_market_mode_cluster
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,dtw_return_similarity_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,dtw_trade_flow_similarity_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,flow_alignment_graph,1200,741,0.9240015273488364,0.9377949563204029,0.9613715174530275,,,,741,3.2388663967611335,3.0,6.0,6,0.9240015273488378,0.9377949563204029,0.9613950996524747,9.0,12.0,18,43.0,88.84999999999997,105,0,0.1417004048582996,false
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,large_trade_alignment_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,return_corr_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,volume_expansion_graph,398,391,0.9772404090843563,1.0,1.0,,,,391,2.0358056265984654,1.0,5.0,6,0.9772404090843566,1.0,1.0,2.0,3.0,47,4.0,26.699999999999996,31,0,0.0792838874680307,false
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,dtw_return_similarity_graph,55,62,0.9125038716104895,0.9104483386260726,0.9327572950063933,,,10,62,1.7741935483870968,1.0,4.949999999999996,6,0.9125038716104895,0.9104483386260726,0.9320673494611451,8.0,9.0,17,2.0,10.2,11,0,0.1774193548387097,true
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,dtw_trade_flow_similarity_graph,248,236,0.9274479005963644,0.9154129023419505,0.9742805208686071,,,10,236,2.1016949152542375,1.5,5.0,6,0.9274479005963644,0.9154129023419505,0.9745497513832038,9.0,10.0,50,2.0,18.19999999999999,34,0,0.1440677966101695,false
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,flow_alignment_graph,1847,1219,0.9435891967473041,0.9518523945407302,0.9976711409691678,,,,1219,3.030352748154225,3.0,6.0,6,0.9435891967473046,0.9518523945407302,0.9976750277198556,8.0,10.0,53,3.0,101.4,123,0,0.10090237899917966,false
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,large_trade_alignment_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,return_corr_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
full-market-graph-build-candidate_2025-01-02,full-market-graph-build-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,volume_expansion_graph,498,433,0.973079436817262,1.0,1.0,,,,433,2.300230946882217,2.0,6.0,6,0.9730794368172618,1.0,1.0,2.0,3.0,30,17.5,29.0,30,0,0.06928406466512702,false
