trade_date,graph_layer,community_count,min_member_count,avg_member_count,max_member_count,shard_file
2025-01-14,dtw_trade_flow_similarity_graph,193,2,7.084919472913616,30,community_member_symbols/2025-01-14__dtw_trade_flow_similarity_graph.csv
2025-01-14,flow_alignment_graph,2975,2,112.13408670515902,368,community_member_symbols/2025-01-14__flow_alignment_graph.csv
2025-01-14,large_trade_alignment_graph,7,2,2.6666666666666665,3,community_member_symbols/2025-01-14__large_trade_alignment_graph.csv
2025-01-14,return_corr_graph,2736,2,107.57911506661371,239,community_member_symbols/2025-01-14__return_corr_graph.csv
2025-01-14,volume_expansion_graph,2892,2,11.189266996382964,44,community_member_symbols/2025-01-14__volume_expansion_graph.csv
2025-01-15,dtw_return_similarity_graph,480,2,8.07962382445141,23,community_member_symbols/2025-01-15__dtw_return_similarity_graph.csv
2025-01-15,dtw_trade_flow_similarity_graph,205,2,7.8700410396716824,27,community_member_symbols/2025-01-15__dtw_trade_flow_similarity_graph.csv
2025-01-15,flow_alignment_graph,3124,2,112.28682610367262,276,community_member_symbols/2025-01-15__flow_alignment_graph.csv
2025-01-15,large_trade_alignment_graph,2,6,6.0,6,community_member_symbols/2025-01-15__large_trade_alignment_graph.csv
2025-01-15,return_corr_graph,2797,2,104.54735708942289,219,community_member_symbols/2025-01-15__return_corr_graph.csv
2025-01-15,volume_expansion_graph,3369,2,11.57524795170332,54,community_member_symbols/2025-01-15__volume_expansion_graph.csv
2025-01-16,dtw_return_similarity_graph,485,2,5.895880149812734,24,community_member_symbols/2025-01-16__dtw_return_similarity_graph.csv
2025-01-16,dtw_trade_flow_similarity_graph,169,2,6.962134251290878,30,community_member_symbols/2025-01-16__dtw_trade_flow_similarity_graph.csv
2025-01-16,flow_alignment_graph,2894,2,113.99949698189135,381,community_member_symbols/2025-01-16__flow_alignment_graph.csv
2025-01-16,return_corr_graph,2743,2,103.93544077332385,251,community_member_symbols/2025-01-16__return_corr_graph.csv
2025-01-16,volume_expansion_graph,3015,2,13.48486063765791,53,community_member_symbols/2025-01-16__volume_expansion_graph.csv
2025-01-17,dtw_return_similarity_graph,486,2,3.9746938775510205,16,community_member_symbols/2025-01-17__dtw_return_similarity_graph.csv
2025-01-17,dtw_trade_flow_similarity_graph,305,2,9.829953198127924,37,community_member_symbols/2025-01-17__dtw_trade_flow_similarity_graph.csv
2025-01-17,flow_alignment_graph,2994,2,114.67975353621148,300,community_member_symbols/2025-01-17__flow_alignment_graph.csv
2025-01-17,return_corr_graph,2718,2,103.66386725239028,204,community_member_symbols/2025-01-17__return_corr_graph.csv
2025-01-17,volume_expansion_graph,3053,2,10.060667114394448,39,community_member_symbols/2025-01-17__volume_expansion_graph.csv
2025-01-21,dtw_return_similarity_graph,486,2,5.0666161998486,20,community_member_symbols/2025-01-21__dtw_return_similarity_graph.csv
2025-01-21,dtw_trade_flow_similarity_graph,247,2,8.562143671607753,34,community_member_symbols/2025-01-21__dtw_trade_flow_similarity_graph.csv
2025-01-21,flow_alignment_graph,3208,2,111.57718150554633,339,community_member_symbols/2025-01-21__flow_alignment_graph.csv
2025-01-21,large_trade_alignment_graph,14,2,3.5365853658536586,5,community_member_symbols/2025-01-21__large_trade_alignment_graph.csv
2025-01-21,return_corr_graph,2750,2,108.69843109565743,238,community_member_symbols/2025-01-21__return_corr_graph.csv
2025-01-21,volume_expansion_graph,3054,2,12.598580230377712,51,community_member_symbols/2025-01-21__volume_expansion_graph.csv
2025-01-22,dtw_return_similarity_graph,546,2,3.7638483965014577,17,community_member_symbols/2025-01-22__dtw_return_similarity_graph.csv
2025-01-22,dtw_trade_flow_similarity_graph,197,2,7.329284750337382,23,community_member_symbols/2025-01-22__dtw_trade_flow_similarity_graph.csv
2025-01-22,flow_alignment_graph,2972,2,116.15269831165851,442,community_member_symbols/2025-01-22__flow_alignment_graph.csv
2025-01-22,large_trade_alignment_graph,5,2,2.8461538461538463,4,community_member_symbols/2025-01-22__large_trade_alignment_graph.csv
2025-01-22,return_corr_graph,2778,2,104.55007170226145,243,community_member_symbols/2025-01-22__return_corr_graph.csv
2025-01-22,volume_expansion_graph,3119,2,11.742894910773298,47,community_member_symbols/2025-01-22__volume_expansion_graph.csv
2025-01-23,dtw_return_similarity_graph,478,2,5.911987860394537,30,community_member_symbols/2025-01-23__dtw_return_similarity_graph.csv
2025-01-23,dtw_trade_flow_similarity_graph,197,2,8.011461318051577,35,community_member_symbols/2025-01-23__dtw_trade_flow_similarity_graph.csv
2025-01-23,flow_alignment_graph,2991,2,113.288299097179,413,community_member_symbols/2025-01-23__flow_alignment_graph.csv
2025-01-23,return_corr_graph,2727,2,105.2891570652743,229,community_member_symbols/2025-01-23__return_corr_graph.csv
2025-01-23,volume_expansion_graph,3565,2,11.385705558949297,46,community_member_symbols/2025-01-23__volume_expansion_graph.csv
2025-01-24,dtw_return_similarity_graph,492,2,4.948170731707317,21,community_member_symbols/2025-01-24__dtw_return_similarity_graph.csv
2025-01-24,dtw_trade_flow_similarity_graph,212,2,5.97289156626506,27,community_member_symbols/2025-01-24__dtw_trade_flow_similarity_graph.csv
2025-01-24,flow_alignment_graph,2920,2,116.12063543500196,333,community_member_symbols/2025-01-24__flow_alignment_graph.csv
2025-01-24,large_trade_alignment_graph,2,2,2.0,2,community_member_symbols/2025-01-24__large_trade_alignment_graph.csv
2025-01-24,return_corr_graph,2766,2,104.23762457712353,251,community_member_symbols/2025-01-24__return_corr_graph.csv
2025-01-24,volume_expansion_graph,3362,2,12.62857316998842,64,community_member_symbols/2025-01-24__volume_expansion_graph.csv
2025-01-27,dtw_return_similarity_graph,480,2,5.761632068718683,21,community_member_symbols/2025-01-27__dtw_return_similarity_graph.csv
2025-01-27,dtw_trade_flow_similarity_graph,235,2,7.756005056890013,30,community_member_symbols/2025-01-27__dtw_trade_flow_similarity_graph.csv
2025-01-27,flow_alignment_graph,3317,2,111.93929040541937,275,community_member_symbols/2025-01-27__flow_alignment_graph.csv
2025-01-27,large_trade_alignment_graph,5,2,2.0,2,community_member_symbols/2025-01-27__large_trade_alignment_graph.csv
2025-01-27,return_corr_graph,2752,2,111.51646735588862,247,community_member_symbols/2025-01-27__return_corr_graph.csv
2025-01-27,volume_expansion_graph,2850,2,13.356696139745525,51,community_member_symbols/2025-01-27__volume_expansion_graph.csv
2025-01-28,dtw_return_similarity_graph,491,2,5.907366885485048,27,community_member_symbols/2025-01-28__dtw_return_similarity_graph.csv
2025-01-28,dtw_trade_flow_similarity_graph,168,2,7.341726618705036,33,community_member_symbols/2025-01-28__dtw_trade_flow_similarity_graph.csv
2025-01-28,flow_alignment_graph,2860,2,115.88451264861467,447,community_member_symbols/2025-01-28__flow_alignment_graph.csv
2025-01-28,return_corr_graph,2692,2,105.90285353153722,242,community_member_symbols/2025-01-28__return_corr_graph.csv
2025-01-28,volume_expansion_graph,3558,2,11.089710751546198,49,community_member_symbols/2025-01-28__volume_expansion_graph.csv
2025-01-29,dtw_return_similarity_graph,552,2,5.290816326530612,22,community_member_symbols/2025-01-29__dtw_return_similarity_graph.csv
2025-01-29,dtw_trade_flow_similarity_graph,127,2,6.65675057208238,20,community_member_symbols/2025-01-29__dtw_trade_flow_similarity_graph.csv
2025-01-29,flow_alignment_graph,2961,2,111.99142768378701,443,community_member_symbols/2025-01-29__flow_alignment_graph.csv
2025-01-29,large_trade_alignment_graph,6,2,2.0,2,community_member_symbols/2025-01-29__large_trade_alignment_graph.csv
2025-01-29,return_corr_graph,2760,2,106.20722896059219,245,community_member_symbols/2025-01-29__return_corr_graph.csv
2025-01-29,volume_expansion_graph,3122,2,11.95329942532532,52,community_member_symbols/2025-01-29__volume_expansion_graph.csv
2025-01-30,dtw_return_similarity_graph,481,2,4.526274509803922,20,community_member_symbols/2025-01-30__dtw_return_similarity_graph.csv
2025-01-30,dtw_trade_flow_similarity_graph,134,2,7.113043478260869,28,community_member_symbols/2025-01-30__dtw_trade_flow_similarity_graph.csv
2025-01-30,flow_alignment_graph,2922,2,112.1778781227294,353,community_member_symbols/2025-01-30__flow_alignment_graph.csv
2025-01-30,large_trade_alignment_graph,17,2,2.7142857142857144,4,community_member_symbols/2025-01-30__large_trade_alignment_graph.csv
2025-01-30,return_corr_graph,2739,2,104.29146939347247,216,community_member_symbols/2025-01-30__return_corr_graph.csv
2025-01-30,volume_expansion_graph,3375,2,11.49262738754433,47,community_member_symbols/2025-01-30__volume_expansion_graph.csv
2025-01-31,dtw_return_similarity_graph,438,2,4.2462488967343335,17,community_member_symbols/2025-01-31__dtw_return_similarity_graph.csv
2025-01-31,dtw_trade_flow_similarity_graph,123,2,8.490981963927856,29,community_member_symbols/2025-01-31__dtw_trade_flow_similarity_graph.csv
2025-01-31,flow_alignment_graph,2976,2,111.75987039755398,356,community_member_symbols/2025-01-31__flow_alignment_graph.csv
2025-01-31,return_corr_graph,2747,2,109.65222351989938,261,community_member_symbols/2025-01-31__return_corr_graph.csv
2025-01-31,volume_expansion_graph,3214,2,11.946442332391472,52,community_member_symbols/2025-01-31__volume_expansion_graph.csv
