entry_standard,avg_time_from_birth_to_entry,median_time_from_birth_to_entry,avg_missed_return,false_confirmation_rate,avg_return_after_entry,avg_holding_days
15m Confirmation,2.0,2.0,0.002372808968048071,0.40799139939079015,0.007749738901370862,2.1824045869915785
Birth Entry,0.0,0.0,-0.0009823852217005946,0.4205736348593491,0.004759366840675393,2.3458356315499174
Cross-resolution Confirmation,3.0,3.0,0.0014246274698296406,0.3845423471325484,0.010566531796478209,2.2971895176604633
Emergence Entry,1.0,1.0,0.000823540576675425,0.15,0.014090582408452713,2.767857142857143
Expansion Entry,3.0,3.0,0.002926058934629493,0.37654090399701157,0.009228703421533964,2.6059021292491593
Rotation-in Entry,2.0,2.0,0.0026076765179737713,0.4103515625,0.0074777260573416215,2.2982421875
