signal_date,execution_date,gross_return,turnover,cost,net_return,benchmark_return,n_positions,equity_curve,benchmark_curve
2026-04-30,2026-05-01,0.02601807539856015,1.0,0.001,0.025018075398560147,0.0031737193101639694,15,1.02501807539856,1.003173719310164
2026-05-01,2026-05-04,0.014028574880839556,1.334697153617414,0.0013346971536174139,0.012693877727222143,-0.0036077201043374085,15,1.038029529515862,0.9995545493148658
2026-05-04,2026-05-05,-0.006549529276327893,1.4000000000000004,0.0014000000000000004,-0.007949529276327893,0.007896142231708758,15,1.0297776833812828,1.0074471742046074
2026-05-05,2026-05-06,-0.07319685334232653,1.353199241477479,0.0013531992414774789,-0.07455005258380401,0.01385860866086297,15,0.9530077029355803,1.0214089903384014
2026-05-06,2026-05-07,-0.009440306596269571,1.6103561390790828,0.001610356139079083,-0.011050662735348655,-0.0030118728127759287,15,0.9424763362262499,1.0183326363696763
2026-05-07,2026-05-08,0.009861194140485235,1.5608968916578534,0.0015608968916578534,0.00830029724882738,0.008160686421079255,15,0.9502991699669135,1.0266429296874402
2026-05-08,2026-05-11,0.03552794830229152,1.7713083272539496,0.0017713083272539497,0.03375663997503757,0.0022642914102741774,15,0.9823780769160636,1.0289675484545502
2026-05-11,2026-05-12,-0.03212983521830032,0.9012440161780685,0.0009012440161780685,-0.033031079234478386,-0.001352813830473698,15,0.9499290688192347,1.0275755469238923
2026-05-12,2026-05-13,-0.01791339296157635,1.8830917292730591,0.0018830917292730592,-0.01979648469084941,0.005560797075141233,15,0.9311238125509619,1.0332896860197134
2026-05-13,2026-05-14,0.022259772400524454,1.9694674558372953,0.0019694674558372953,0.02029030494468716,0.007779853929373859,15,0.9500165986488807,1.0413285288436753
2026-05-14,2026-05-15,0.010756127280010852,1.5466464789216454,0.0015466464789216454,0.009209480801089206,-0.012030798570200396,15,0.9587657582748536,1.028800515067754
2026-05-15,2026-05-18,0.0350384088373409,1.675454406920068,0.0016754544069200682,0.03336295443042083,-0.0007036038307429715,10,0.9907530165776254,1.028076647084282
2026-05-18,2026-05-19,-0.009311687304290746,1.0327179275545135,0.0010327179275545135,-0.01034440523184526,-0.006458540331209295,15,0.9805042658894734,1.0214367725955136
2026-05-19,2026-05-20,-0.006876885422406507,1.1435077105723812,0.0011435077105723813,-0.008020393132978887,0.010166426628926084,15,0.972640236208477,1.0318211346001929
2026-05-20,2026-05-21,-0.0010260960933444305,1.8988971190203903,0.0018988971190203902,-0.002924993212364821,0.002023608768971341,15,0.9697952701194942,1.0339091368961797
2026-05-21,2026-05-22,0.04953409874551755,1.4000000000000004,0.0014000000000000004,0.04813409874551755,0.003823664564750917,10,1.0164754914143619,1.0378624586261018
2026-05-22,2026-05-26,0.025148030510099516,1.6175539195433972,0.0016175539195433972,0.02353047659055612,0.006545076612997969,10,1.0403936441699617,1.0446553479315641
2026-05-26,2026-05-27,-0.0065014985298889275,2.0000000000000004,0.0020000000000000005,-0.008501498529888928,0.0,5,1.031548739133545,1.0446553479315641
2026-05-27,2026-05-28,0.012481591869871522,1.8000000000000003,0.0018000000000000004,0.010681591869871523,0.005556576689411674,5,1.04256732175885,1.05046005548635
2026-05-28,2026-05-29,0.0027323763235379676,1.8000000000000003,0.0018000000000000004,0.0009323763235379672,0.0023322507837659767,15,1.0435393868453524,1.0529099917740727
2026-05-29,2026-06-01,0.007171771167397836,1.6000000000000005,0.0016000000000000005,0.005571771167397835,0.002696956585801269,15,1.0493537495130214,1.0557496443106438
2026-06-01,2026-06-02,-0.007790004095408814,1.5408602082201863,0.0015408602082201863,-0.009330864303629,0.0013580088845568383,15,1.039562372069811,1.0571833617074853
2026-06-02,2026-06-03,-0.042643279833565466,1.8966447910626596,0.0018966447910626597,-0.04453992462462813,-0.006952175155563456,15,0.9932603423752221,1.0498336378053474
2026-06-03,2026-06-04,-0.027811573767789824,2.0,0.002,-0.029811573767789826,0.00379212843223109,10,0.9636496884078829,1.0538147417923818
2026-06-04,2026-06-05,-0.01578908692974876,2.0000000000000004,0.0020000000000000005,-0.017789086929748763,-0.025757876381252487,15,0.9465072403309698,1.0266707119445522
