metric,value
total_return,-0.05349275966903022
benchmark_total_return,0.026670711944552172
excess_total_return,-0.07953384433198907
annualized_return,-0.42544802768537904
benchmark_annualized_return,0.3038457739963696
annualized_volatility,0.4174795652190759
sharpe,-1.1144945940237407
max_drawdown,-0.10298909031495562
hit_rate,0.48
avg_turnover,1.5894617406475777
avg_positions,13.4
days,25.0
