run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,summary_edge_count,summary_node_count,summary_avg_weight,summary_median_weight,summary_p90_weight,threshold,top_k_per_symbol,effective_lookback_minutes,active_node_count,average_degree,degree_p50,degree_p95,max_degree,average_edge_weight,edge_weight_p50,edge_weight_p90,support_points_p50,support_points_p90,community_count,community_size_p50,community_size_p95,community_size_max,singleton_community_count,largest_community_ratio,has_market_mode_cluster
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,dtw_return_similarity_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,dtw_trade_flow_similarity_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,flow_alignment_graph,68,44,0.8471801588264453,0.8479937175658321,0.8969157752226485,,,,44,3.090909090909091,3.0,6.0,6,0.8471801588264453,0.8479937175658321,0.8971027986816806,9.0,16.0,7,8.0,9.399999999999999,10,0,0.22727272727272727,true
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,large_trade_alignment_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,return_corr_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,volume_expansion_graph,17,21,0.8575827770572146,0.8300280413396104,0.9954350602368858,,,,21,1.619047619047619,1.0,3.0,3,0.8575827770572146,0.8300280413396104,0.9972610361421315,3.0,6.0,6,3.0,5.75,6,0,0.2857142857142857,true
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,dtw_return_similarity_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,dtw_trade_flow_similarity_graph,27,23,0.9273272495284263,0.926088832181275,0.9439267579567213,,,10,23,2.347826086956522,1.0,5.899999999999999,6,0.9273272495284265,0.926088832181275,0.945432103479513,8.0,9.400000000000002,5,4.0,7.0,7,0,0.30434782608695654,true
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,flow_alignment_graph,111,67,0.8884271208013697,0.8942661083873963,0.9468997143564406,,,,67,3.3134328358208953,3.0,6.0,6,0.8884271208013695,0.8942661083873963,0.9468997143564406,9.0,12.0,7,8.0,19.49999999999999,24,0,0.3582089552238806,true
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,large_trade_alignment_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,return_corr_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,volume_expansion_graph,13,16,0.8959526816860307,0.8333065435154906,1.0,,,,16,1.625,1.0,3.75,6,0.8959526816860307,0.8333065435154906,1.0,3.0,3.0,5,3.0,4.6,5,0,0.3125,true
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1445,2025-01-02,2025-01-02 22:45:00,1445,15,dtw_return_similarity_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1445,2025-01-02,2025-01-02 22:45:00,1445,15,dtw_trade_flow_similarity_graph,23,27,0.9326278967337004,0.9298247349661968,0.9501939731106244,,,15,27,1.7037037037037037,1.0,5.099999999999998,6,0.9326278967337004,0.9298247349661968,0.9500957244997547,8.0,9.8,7,4.0,6.399999999999999,7,0,0.25925925925925924,true
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1445,2025-01-02,2025-01-02 22:45:00,1445,15,flow_alignment_graph,167,112,0.8748899582371772,0.8880336425300088,0.9326892184145966,,,,112,2.982142857142857,3.0,5.0,6,0.8748899582371775,0.8880336425300088,0.9329332532044012,9.0,13.0,13,4.0,24.39999999999999,28,0,0.25,true
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1445,2025-01-02,2025-01-02 22:45:00,1445,15,large_trade_alignment_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1445,2025-01-02,2025-01-02 22:45:00,1445,15,return_corr_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1445,2025-01-02,2025-01-02 22:45:00,1445,15,volume_expansion_graph,8,9,0.9164339998042946,0.9166532717577454,1.0,,,,9,1.7777777777777777,1.0,4.399999999999999,6,0.9164339998042946,0.9166532717577454,1.0,2.5,3.0,3,2.0,4.7,5,0,0.5555555555555556,true
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1450,2025-01-02,2025-01-02 22:50:00,1450,20,dtw_return_similarity_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1450,2025-01-02,2025-01-02 22:50:00,1450,20,dtw_trade_flow_similarity_graph,4,6,0.9409606778068982,0.9374129246217143,0.9754316610107453,,,20,6,1.3333333333333333,1.0,2.0,2,0.9409606778068982,0.9374129246217143,0.966913700519741,9.5,10.0,2,3.0,3.9,4,0,0.6666666666666666,true
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1450,2025-01-02,2025-01-02 22:50:00,1450,20,flow_alignment_graph,185,132,0.8654507265769935,0.880660349340427,0.9269216309325107,,,,132,2.803030303030303,3.0,5.0,6,0.8654507265769934,0.880660349340427,0.9268687170243042,11.0,15.0,21,4.0,14.0,14,0,0.10606060606060606,false
qualification-6d-candidate_2025-01-02,qualification-6d-candidate_2025-01-02_2025-01-02_1450,2025-01-02,2025-01-02 22:50:00,1450,20,large_trade_alignment_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
