graph_layer,layer_role,factor_name,label_horizon,label_variant,first_sample_size,first_rank_ic,first_top_bottom_spread,first_top_decile_hit_rate,first_score,first_confidence_bucket,first_research_action,second_sample_size,second_rank_ic,second_top_bottom_spread,second_top_decile_hit_rate,second_score,second_confidence_bucket,second_research_action,first_window_id,second_window_id,first_score_sign,second_score_sign,score_direction_consistent,rank_ic_direction_consistent,sample_qualified_both,research_action_consistent,score_delta,sample_size_delta,stability_bucket,research_decision
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_avg_weight_feature,1m,top10_member,1999,-0.0077802581225113,-0.0007160328758942,0.4673366834170854,-0.0256828654364181,watch,watch,1640,-0.0815882282892117,-0.0010268146262156,0.5365853658536586,-0.2623150128855632,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,-1,True,True,False,True,-0.2366321474491451,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_avg_weight_feature,30m,top10_member,1997,-0.0541051954602731,-0.0016070893961953,0.4321608040201005,-0.1785793637911611,watch,watch,1638,-0.0226342441554131,0.0005375002154216,0.5153374233128835,0.072759564891967,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,1,False,True,False,True,0.2513389286831281,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_avg_weight_feature,5m,top10_member,1998,-0.0594291352060771,-0.0005379940344601,0.4472361809045226,-0.1961644498315947,watch,watch,1640,-0.045108876574773,-0.0013734171109868,0.4451219512195122,-0.1450299361572175,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,-1,True,True,False,True,0.05113451367437721,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_avg_weight_feature,15m,top5_member,1997,-0.0510028540308913,-0.0015085906101741,0.371859296482412,-0.1683397896798588,watch,watch,1639,0.0005555801939833,0.0008114053202038,0.4539877300613497,0.0017861035687243,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,1,False,False,False,True,0.1701258932485831,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_avg_weight_feature,1m,top5_member,1999,-0.0100701741385022,-0.0008359561810463,0.4271356783919598,-0.0332419468927554,watch,watch,1640,-0.0748465747865692,-0.0010123044703275,0.5365853658536586,-0.2406398648587307,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,-1,True,True,False,True,-0.20739791796597531,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_avg_weight_feature,30m,top5_member,1997,-0.0508102638734076,-0.0017692449418468,0.4271356783919598,-0.1677041274758265,watch,watch,1638,-0.0210110652683227,0.0005445293341388,0.5030674846625767,0.0675417282036462,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,1,False,True,False,True,0.2352458556794727,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_avg_weight_feature,5m,top5_member,1998,-0.0558398458994796,-0.0006266002595178,0.4472361809045226,-0.1843168777665863,watch,watch,1640,-0.0449966393302668,-0.0014709296778606,0.4512195121951219,-0.1446690812292919,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,-1,True,True,False,True,0.039647796537294416,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,15m,core_weighted,1997,0.0480622433527155,0.0008010315900727,0.5728643216080402,0.1586340233555932,watch,watch,1639,0.014804921458752,0.0008481500180072,0.5337423312883436,0.0475955106724982,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,1,True,True,False,True,-0.111038512683095,-358,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,1m,core_weighted,1999,0.026261039698724,0.0005532901689291,0.5628140703517588,0.0866884797628105,watch,watch,1640,-0.0105953631475575,0.0007085832232709,0.5304878048780488,0.0340652429750858,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,1,True,False,False,True,-0.052623236787724695,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,30m,core_weighted,1997,0.0190619434070335,0.0021193642525277,0.4874371859296482,0.0629157643234208,watch,watch,1638,0.0209376132101539,-0.000207749914078,0.5766871165644172,-0.0673056107633603,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,1,-1,False,True,False,True,-0.1302213750867811,-359,insufficient_sample,needs_more_sample
dtw_trade_flow_similarity_graph,pair_flow_leadlag_candidate,community_mean_volume_z_12,5m,core_weighted,1998,-0.0028622396008637,-0.0003422931629582,0.5678391959798995,-0.0094477170943624,watch,watch,1640,0.0337858824803857,0.0014922111993915,0.5304878048780488,0.1086252806811394,watch,watch,2025-01-06_2025-01-17,2025-01-21_2025-01-31,-1,1,False,False,False,True,0.1180729977755018,-358,insufficient_sample,needs_more_sample
