layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-v2_2025-01-15_2025-01-15_2030_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-15,full-market-graph-build-v2_2025-01-15_2025-01-15_2030,2025-01-15,2025-01-16 04:30:00,2030,360,large_trade_alignment_graph,C001,6,"ERIC,IQV,KGC,PFE,QS,WLAC"
full-market-graph-build-v2_2025-01-15_2025-01-15_2035_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-15,full-market-graph-build-v2_2025-01-15_2025-01-15_2035,2025-01-15,2025-01-16 04:35:00,2035,365,large_trade_alignment_graph,C001,6,"ERIC,IQV,KGC,PFE,QS,WLAC"
full-market-graph-build-v2_2025-01-15_2025-01-15_2100_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-15,full-market-graph-build-v2_2025-01-15_2025-01-15_2100,2025-01-15,2025-01-16 05:00:00,2100,390,large_trade_alignment_graph,C001,4,"AIZ,MLAB,MSGS,NPO"
