layer_community_id,run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,community_local_id,member_count,member_symbols
full-market-graph-build-v2_2025-01-14_2025-01-14_1435_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1435,2025-01-14,2025-01-14 22:35:00,1435,5,large_trade_alignment_graph,C001,2,"EVR,HRI"
full-market-graph-build-v2_2025-01-14_2025-01-14_1730_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1730,2025-01-14,2025-01-15 01:30:00,1730,180,large_trade_alignment_graph,C001,2,"OXM,ZYBT"
full-market-graph-build-v2_2025-01-14_2025-01-14_1920_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1920,2025-01-14,2025-01-15 03:20:00,1920,290,large_trade_alignment_graph,C001,2,"ESLT,TKO"
full-market-graph-build-v2_2025-01-14_2025-01-14_1940_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1940,2025-01-14,2025-01-15 03:40:00,1940,310,large_trade_alignment_graph,C001,3,"BTU,CACC,Z"
full-market-graph-build-v2_2025-01-14_2025-01-14_1945_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1945,2025-01-14,2025-01-15 03:45:00,1945,315,large_trade_alignment_graph,C001,3,"BTU,CACC,Z"
full-market-graph-build-v2_2025-01-14_2025-01-14_1950_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1950,2025-01-14,2025-01-15 03:50:00,1950,320,large_trade_alignment_graph,C001,3,"BTU,CACC,Z"
full-market-graph-build-v2_2025-01-14_2025-01-14_1955_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_1955,2025-01-14,2025-01-15 03:55:00,1955,325,large_trade_alignment_graph,C001,3,"BTU,CACC,Z"
full-market-graph-build-v2_2025-01-14_2025-01-14_2000_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_2000,2025-01-14,2025-01-15 04:00:00,2000,330,large_trade_alignment_graph,C001,3,"BTU,CACC,Z"
full-market-graph-build-v2_2025-01-14_2025-01-14_2100_large_trade_alignment_graph_community_001,full-market-graph-build-v2_2025-01-14,full-market-graph-build-v2_2025-01-14_2025-01-14_2100,2025-01-14,2025-01-15 05:00:00,2100,390,large_trade_alignment_graph,C001,2,"CRAI,MSGS"
