horizon_minutes,trade_days,signal_count,avg_gross_return,avg_net_return,median_net_return,hit_rate,confirmed_signal_count,confirmed_avg_net_return
1,187,14808,-9.299893804425563e-05,-0.0005929260492962333,-0.0004999550067490642,0.29213938411669366,0,0.0
3,187,14782,-0.0002660873917056149,-0.0007659625842093048,-0.0004999550067490642,0.3384521715600054,0,0.0
5,187,14744,-0.0005212386738678383,-0.001021037332466965,-0.0004999550067490642,0.35248236570808467,0,0.0
10,187,14647,-0.0007433874922260415,-0.0012431195161748602,-0.0004999550067491752,0.37550351607837784,0,0.0
15,187,14551,-0.0008307115303706421,-0.0013304173610370084,-0.0005226009622703252,0.3900762834169473,0,0.0
