trade_date,status,candidate_rows,signal_rows,evaluated_rows,best_horizon,best_avg_net_return
2025-10-24,ok,189,95,471,1,0.0001766199064915706
2025-10-27,ok,187,82,403,1,-0.0038746970177917905
2025-10-28,ok,187,91,446,5,0.014937821620142469
2025-10-29,ok,187,91,452,1,0.0010892183878214146
2025-10-30,ok,187,92,458,1,-0.0007511898686093902
2025-10-31,ok,188,93,459,3,-0.003356690531970221
2025-11-03,ok,174,93,465,15,0.008874030540783447
2025-11-04,ok,175,91,455,1,-0.0010787151842742402
2025-11-05,ok,174,101,505,3,-0.00045041377347063925
2025-11-06,ok,174,78,390,15,-0.0005290810774870346
2025-11-07,ok,175,78,390,5,-0.0011372882130527234
2025-11-10,ok,174,92,460,1,-0.0003484495517043447
2025-11-11,ok,175,92,460,1,-0.0008014918110289606
2025-11-12,ok,174,86,430,15,0.0002783574388872766
2025-11-13,ok,174,76,375,15,0.0008784689854553108
2025-11-14,ok,174,84,420,10,0.003909053190447283
2025-11-17,ok,175,78,390,15,0.0032859424154294383
2025-11-18,ok,176,91,455,3,0.002668362187015557
2025-11-19,ok,176,89,445,1,-0.00013329850808513715
2025-11-20,ok,175,88,440,1,-0.0023298853533336886
2025-11-21,ok,178,82,408,5,0.003477393409679413
2025-11-24,ok,174,95,475,3,0.00038286056126487
2025-11-25,ok,175,93,465,15,0.004618588317632762
2025-11-26,ok,175,93,465,15,0.0037861171645142354
2025-11-28,ok,110,59,280,5,0.005670060642579767
2025-12-01,ok,175,86,430,1,0.0006593239719047153
2025-12-02,ok,174,82,410,3,-0.001808525087676211
2025-12-03,ok,174,96,474,3,-0.0005108062809529451
2025-12-04,ok,176,83,410,5,0.0026176799119087693
2025-12-05,ok,174,85,425,3,0.006347035698407628
2025-12-08,ok,173,87,435,15,0.009968546170614231
2025-12-09,ok,174,95,475,3,-0.0023298365480184744
2025-12-10,ok,177,88,440,1,-0.002691287305878298
2025-12-11,ok,176,94,470,1,0.00031975750318854535
2025-12-12,ok,176,93,465,10,0.0010785614479466496
2025-12-15,ok,176,92,460,3,-0.00044527855858198515
2025-12-16,ok,177,90,450,1,0.0004645419936858972
2025-12-17,ok,174,85,420,1,-0.0016300467953124721
2025-12-18,ok,174,88,438,15,0.00011262833496936215
2025-12-19,ok,174,98,490,3,0.00024476683746709214
2025-12-22,ok,175,85,420,15,0.0020907028153714126
2025-12-23,ok,175,92,460,3,-0.001482757196453035
2025-12-24,ok,149,74,356,5,0.0007723090672214208
2025-12-26,ok,153,72,346,3,0.00045825856233697393
2025-12-29,ok,150,63,296,1,0.0003806833748070878
2025-12-30,ok,150,81,391,10,0.0026196809327221813
2025-12-31,ok,151,66,311,3,0.0002009841465798433
2026-01-02,ok,150,76,370,15,0.0041331015213039
2026-01-05,ok,151,63,300,3,0.0014286086745018344
2026-01-06,ok,151,75,358,15,-0.0012361025110735548
2026-01-07,ok,150,72,348,3,0.001115009188198257
2026-01-08,ok,152,78,372,3,-0.0016919522879307142
2026-01-09,ok,152,75,363,15,0.001778234127816852
2026-01-12,ok,151,77,374,10,0.000636895616903252
2026-01-13,ok,151,68,326,1,-0.00017609839778406564
2026-01-14,ok,152,73,356,5,8.198099755685213e-05
2026-01-15,ok,150,69,329,10,0.004776420236283521
2026-01-16,ok,150,65,307,15,0.0043689673629394195
2026-01-20,ok,150,68,322,15,0.000755926188308057
2026-01-21,ok,151,67,329,5,0.002227131199179641
2026-01-22,ok,150,74,363,10,0.000739095417227352
2026-01-23,ok,150,64,299,3,-0.0005865068885249569
2026-01-26,ok,150,78,385,1,-0.0003723983306848164
2026-01-27,ok,151,73,351,1,-0.0009737700474686165
2026-01-28,ok,151,84,403,1,-0.00022952867066500747
2026-01-29,ok,150,83,402,10,-0.0010275638784863917
2026-01-30,ok,151,70,343,15,0.0028049105898531775
2026-02-02,ok,150,74,357,3,-0.0010984582078671372
2026-02-03,ok,151,71,341,1,-0.000767221233658005
2026-02-04,ok,149,86,411,10,8.639247807163943e-05
2026-02-05,ok,151,68,327,15,0.0028970848706768955
2026-02-06,ok,150,75,352,1,0.004380880066597223
2026-02-09,ok,153,75,358,1,0.002008636668768126
2026-02-10,ok,151,70,340,15,0.0003199553344973587
2026-02-11,ok,152,70,335,1,0.0009173402127850145
2026-02-12,ok,151,77,364,3,-1.2251838370455966e-05
2026-02-13,ok,150,78,369,3,0.0023003826431166902
2026-02-17,ok,151,70,339,3,-0.008306707641082623
2026-02-18,ok,149,72,353,3,-0.0006912242449077869
2026-02-19,ok,150,78,375,15,0.00014068887940623927
2026-02-20,ok,150,71,332,1,-0.0019471593911139955
2026-02-23,ok,152,70,337,1,-0.002124003987354101
2026-02-24,ok,149,76,373,1,-0.0005558296003245834
2026-02-25,ok,150,70,332,5,0.0004262395239902198
2026-02-26,ok,150,65,307,1,-0.00138571929692074
2026-02-27,ok,149,71,341,3,0.002142963289267003
2026-03-02,ok,151,66,317,15,0.0021065839296197744
2026-03-03,ok,150,51,247,15,-0.0016615176211439318
2026-03-04,ok,150,61,284,3,0.0027321329674838894
2026-03-05,ok,149,73,342,10,0.0012781796153738215
2026-03-06,ok,150,67,327,10,0.0013558574116270602
2026-03-09,ok,161,76,365,3,-0.00032675993262415665
2026-03-10,ok,161,70,347,3,-0.0023372018260249044
2026-03-11,ok,162,73,365,5,-0.0003607278624509397
2026-03-12,ok,161,72,346,1,-0.0008024223622403687
2026-03-13,ok,164,70,336,1,0.0010495048849612843
2026-03-16,ok,186,88,434,1,-0.0007541897390783491
2026-03-17,ok,161,81,396,1,-8.018514793257234e-05
2026-03-18,ok,161,72,344,5,-0.0019120370307651698
2026-03-19,ok,161,78,380,10,0.0047262996928734745
2026-03-20,ok,162,83,400,15,0.0008412627161124538
2026-03-23,ok,163,79,375,15,0.0018681099176790694
2026-03-24,ok,162,86,418,10,0.0007124595540311868
2026-03-25,ok,161,70,336,15,0.0033299477552922565
2026-03-26,ok,162,82,392,1,-0.00015704641315391626
2026-03-27,ok,161,67,328,1,-0.000352378535930435
2026-03-30,ok,161,78,372,10,-0.0017555037835541858
2026-03-31,ok,162,85,419,3,-0.0001003276939482664
2026-04-01,ok,161,80,390,15,-0.00023146269804302726
2026-04-02,ok,161,71,350,10,0.002621247928316745
2026-04-06,ok,162,75,358,1,-0.0013690356786647548
2026-04-07,ok,162,69,341,15,-0.0008232290491634734
2026-04-08,ok,162,84,415,3,-0.0013238365463271557
2026-04-09,ok,162,66,309,3,-0.003221245911154976
2026-04-10,ok,161,85,412,15,0.002297421491046498
2026-04-13,ok,162,83,403,5,-0.0004331565087497513
2026-04-14,ok,162,80,388,1,-0.0007192936727663585
2026-04-15,ok,164,77,374,3,0.001200411586064911
2026-04-16,ok,164,73,358,1,0.0014062608695149274
2026-04-17,ok,161,69,343,15,0.0012102009623122156
2026-04-20,ok,163,84,405,1,-0.0005621417128807496
2026-04-21,ok,161,70,343,1,-0.0010295670228374334
2026-04-22,ok,161,86,425,3,-0.0008549292371347204
2026-04-23,ok,162,76,375,1,0.00017202325860456692
2026-04-24,ok,160,75,366,1,0.0016809967049534807
2026-04-27,ok,161,80,388,10,-0.00026632725819821407
2026-04-28,ok,159,70,344,1,0.00023342717185592887
2026-04-29,ok,161,82,407,15,0.00130312911979816
2026-04-30,ok,159,77,377,15,0.0028568116658413668
2026-05-01,ok,158,74,367,3,0.0004725064451690255
2026-05-04,ok,160,83,408,5,-0.0010187566942545107
2026-05-05,ok,160,80,392,1,0.0005474072070921962
2026-05-06,ok,160,70,349,15,0.00054212860763599
2026-05-07,ok,159,65,325,1,-0.0013808308748397091
2026-05-08,ok,160,74,354,15,0.0009332586646590727
2026-05-11,ok,159,75,363,15,0.003172367794429065
2026-05-12,ok,160,76,358,10,0.001747772713905312
2026-05-13,ok,160,63,313,5,0.00020871113043729404
2026-05-14,ok,160,65,318,15,-0.0004203548741160061
2026-05-15,ok,159,57,272,1,-0.002312866536893918
2026-05-18,ok,160,78,385,1,0.0027540751250547833
2026-05-19,ok,160,68,337,1,-0.001536950205710012
2026-05-20,ok,160,74,370,10,0.002968963137621616
2026-05-21,ok,159,80,387,10,0.0003288953695188283
2026-05-22,ok,161,66,322,15,1.928458668451502e-05
2026-05-26,ok,159,74,363,5,0.0040364553818640755
2026-05-27,ok,159,76,380,1,-0.002591878402347896
2026-05-28,ok,159,76,375,15,0.0016037593147142915
2026-05-29,ok,159,75,353,3,-0.0003568533163275775
