graph_layer,baseline_edge_count,current_edge_count,edge_count_delta,edge_count_delta_ratio
dtw_return_similarity_graph,1016261,364248,-652013,-0.641580263337863
dtw_trade_flow_similarity_graph,732311,480504,-251807,-0.3438525435231753
flow_alignment_graph,20825310,8449084,-12376226,-0.5942877200867598
large_trade_alignment_graph,1009,199,-810,-0.8027750247770069
return_corr_graph,1578,5230407,5228829,3313.5798479087453
volume_expansion_graph,415179,268861,-146318,-0.3524214856724449
