variant_id,min_theme_score,min_pair_corr,top_symbols,trade_days,candidate_rows_total,signal_rows_total,best_horizon,best_avg_net_return,best_hit_rate
min_pair_corr_down,0.2,0.49500000000000005,60,21,3915,1902,1,0.0004284731695566148,0.31029023746701845
baseline,0.2,0.55,60,21,3933,1916,1,0.0004073217939548604,0.31099476439790574
min_theme_score_down,0.18000000000000002,0.55,60,21,3933,1916,1,0.0004073217939548604,0.31099476439790574
min_theme_score_up,0.22000000000000003,0.55,60,21,3933,1916,1,0.0004073217939548604,0.31099476439790574
min_pair_corr_up,0.2,0.6050000000000001,60,21,3955,1924,1,0.00033892345624173946,0.3102189781021898
top_symbols_up,0.2,0.55,66,21,3920,1912,1,6.08716589134049e-05,0.3119747899159664
top_symbols_down,0.2,0.55,54,21,3936,1850,1,-0.00010813051547092718,0.30157011369788844
