lifecycle_id,cluster_name,dominant_sector,dominant_industry,first_date,last_date,active_days,peak_momentum_score,avg_momentum_score,return_2m,avg_relative_strength_10d,top_members
L031,FINANCIAL/REIT :: AAT-ACGL-ACHV,BIZSVCE,BIZSUPPORT,2026-04-22 00:00:00-04:00,2026-05-07 00:00:00-04:00,12,0.048041894883964514,-0.18834180293773842,-0.0015444016135353483,-0.03227277389699705,"AAT, OUT, OTLY, OTIS, ORI, OPRA"
L080,ENERGY/MIDSTREAMENERGY :: ADAM-AGNC-APAM,UNKNOWN,UNKNOWN,2026-05-19 00:00:00-04:00,2026-05-20 00:00:00-04:00,2,0.047064747782616684,-0.011356298595539306,0.007662321251837664,-0.03746749188093159,"ADAM, MITT, NXRT, NLY, NEWT, NAVI"
L017,FINANCIAL/INSURANCE :: ACGL-ACIC-ACT,BIZSVCE,BIZSUPPORT,2026-04-15 00:00:00-04:00,2026-04-28 00:00:00-04:00,10,0.020740124999039003,-0.22278469003398493,-0.014610768361358524,-0.04737449449369151,"ABT, NI, PAYP, OZK, OTTR, OTIS"
L021,FINANCIAL/BANKSINTL :: ABR-ACRE-ADAM,UNKNOWN,UNKNOWN,2026-04-17 00:00:00-04:00,2026-04-17 00:00:00-04:00,1,-0.006691414416663308,-0.006691414416663308,0.017872113493696114,-0.01160945387079014,"ABR, JMSB, LADR, LC, LI, MFA"
L072,FINANCIAL/ENERGYUTIL :: ACU-ADUS-AEP,FINANCIAL,BANKSINTL,2026-05-13 00:00:00-04:00,2026-05-27 00:00:00-04:00,10,-0.015591236255240337,-0.2522271066901163,-0.030990573217502704,-0.07961535593285014,"ACU, NU, OPRX, OFLX, ODYS, ODTX"
L098,UNKNOWN/UNKNOWN :: ACNB-ACNT-AFCG,UNKNOWN,UNKNOWN,2026-06-04 00:00:00-04:00,2026-06-05 00:00:00-04:00,2,-0.03499539468803829,-0.13839252201564928,0.022999873039059985,-0.008622959814199131,"ACNB, PFIS, NBTX, NGNE, NRC, NVCT"
L011,FINANCIAL/INSURANCE :: ABT-ACGL-ACIC,UNKNOWN,UNKNOWN,2026-04-09 00:00:00-04:00,2026-04-10 00:00:00-04:00,2,-0.048258432517134124,-0.1127977482892305,-0.008756067108245117,-0.019936624325571348,"AAUC, NPK, OGS, OGE, NXST, NWN"
L066,FINANCIAL/REIT :: AAT-ADC-AIT,FINANCIAL,REIT,2026-05-11 00:00:00-04:00,2026-05-11 00:00:00-04:00,1,-0.04999144154924652,-0.04999144154924652,-0.005224528111643908,0.006530862105643895,"AAT, ADC, REG, PSA, PLD, PKX"
L065,FINANCIAL/REIT :: AAT-ADC-AKR,TECH,SOFTW,2026-05-08 00:00:00-04:00,2026-05-19 00:00:00-04:00,8,-0.08773401305105037,-0.27435118941360837,-0.022823518751592223,-0.05105076070745931,"AAT, OI, NHI, NNN, NSA, NTES"
L094,INDUSTRIAL/DELIVERY :: ABR-ACAD-ACRE,UNKNOWN,UNKNOWN,2026-06-01 00:00:00-04:00,2026-06-02 00:00:00-04:00,2,-0.09241571526362814,-0.15065585409840493,-0.0033681595034729074,-0.016462967847246966,"ABR, IVR, ONEW, OMF, OI, ODC"
L029,HEALTHCARE/HCAREMISC :: A-ABEO-ABSI,HEALTHCARE,HCAREMISC,2026-04-22 00:00:00-04:00,2026-04-22 00:00:00-04:00,1,-0.12222514914630582,-0.12222514914630582,0.002496273272071487,-0.009139823756316022,"A, NBTX, RGEN, QGEN, PSNL, PENG"
L067,FINANCIAL/INVESTSVCE :: ALLY-ALOT-AMP,FINANCIAL,BANKSUSA,2026-05-11 00:00:00-04:00,2026-05-12 00:00:00-04:00,2,-0.15094387239865328,-0.16012183307371153,-0.010991520134168164,-0.037662012590509164,"ALLY, NSC, PRU, PRI, PNC, PFG"
L063,TECH/SOFTW :: ATII-AVNS-BBCQ,UNKNOWN,UNKNOWN,2026-05-08 00:00:00-04:00,2026-05-08 00:00:00-04:00,1,-0.15516000224213097,-0.15516000224213097,0.0002813237443155847,-0.02542769176903629,"ATII, KW, WSR, VACI, TXNM, TBRG"
L042,FINANCIAL/BANKSINTL :: AAL-AAMI-AAT,UNKNOWN,UNKNOWN,2026-04-29 00:00:00-04:00,2026-05-06 00:00:00-04:00,6,-0.17496762806891997,-0.2749132380523976,-0.01369459951993332,-0.06428278282724036,"AAL, OFIX, ORIC, OPTX, OPRT, OPCH"
L020,HEALTHCARE/MEDDEVICESGEN :: A-ABX-ADPT,HEALTHCARE,HCAREMISC,2026-04-16 00:00:00-04:00,2026-04-16 00:00:00-04:00,1,-0.2058397129903669,-0.2058397129903669,-0.010499245184777328,-0.014083155756333489,"A, RGEN, SIBN, SHC, SGRY, SF"
L100,CONSUMERSVCE/HOSPITALITY :: LLYVK-LYV-MSGE,CONSUMERSVCE,HOSPITALITY,2026-06-04 00:00:00-04:00,2026-06-04 00:00:00-04:00,1,-0.25863330386029526,-0.25863330386029526,-0.010562010536754873,-0.015994629590627835,"LLYVK, LYV, MSGE, MSGS"
L076,FINANCIAL/INVESTSVCE :: ABNB-ALLY-AMG,CONSUMERSVCE,HOSPITALITY,2026-05-15 00:00:00-04:00,2026-05-18 00:00:00-04:00,2,-0.27829209077991224,-0.2955463922522368,-0.007043841414862969,-0.04114088295594753,"ABNB, LYTS, RF, PWP, PRU, PRI"
L077,FINANCIAL/REALESTATESVCE :: ADAM-AGNC-APAM,UNKNOWN,UNKNOWN,2026-05-15 00:00:00-04:00,2026-05-15 00:00:00-04:00,1,-0.32301233243878846,-0.32301233243878846,-0.021211849019132437,-0.061370685117563176,"ADAM, IVR, RWT, RITM, ORC, NLY"
L016,FINANCIAL/INSURANCE :: ACGL-ACIC-ACT,UTIL,ENERGYUTIL,2026-04-10 00:00:00-04:00,2026-04-15 00:00:00-04:00,4,-0.33824295935521553,-0.4473119674260906,-0.008309939602670763,-0.05358551733152933,"AAUC, OPY, PEG, PCRX, PCG, PAYP"
L033,FINANCIAL/BANKSINTL :: BBAR-BMA-CEPU,UNKNOWN,UNKNOWN,2026-04-23 00:00:00-04:00,2026-04-28 00:00:00-04:00,4,-0.38570797636163867,-0.6728963159102467,-0.026420675140104724,-0.09247242755887652,"BBAR, BMA, WPP, TEO, SUPV, ROIV"
L023,UTIL/ENERGYUTIL :: ACI-AEE-AEP,UTIL,ENERGYUTIL,2026-04-20 00:00:00-04:00,2026-04-20 00:00:00-04:00,1,-0.3954687977209789,-0.3954687977209789,-0.0015320166470274036,-0.0746020554506053,"ACI, NWN, PEP, PEG, PCG, OTTR"
L086,CONSUMERSVCE/HOSPITALITY :: ACRE-ADAM-AGNC,UNKNOWN,UNKNOWN,2026-05-22 00:00:00-04:00,2026-05-22 00:00:00-04:00,1,-0.3978758008133004,-0.3978758008133004,-0.004932617524311336,-0.044249291438363904,"ACRE, PMT, PFLT, PEB, OUT, OTF"
L045,FINANCIAL/BANKSINTL :: BBAR-BMA-CEPU,UNKNOWN,UNKNOWN,2026-04-30 00:00:00-04:00,2026-04-30 00:00:00-04:00,1,-0.47066063206711345,-0.47066063206711345,-0.004491412521079844,-0.07773890617399676,"BBAR, BMA, CEPU, CRESY, EDN, EFOR"
L049,NONCYCLICAL/GENMERCH :: ADC-ALOY-AMSF,FINANCIAL,GENMERCH,2026-05-04 00:00:00-04:00,2026-05-04 00:00:00-04:00,1,-0.5346997547927923,-0.5346997547927923,-0.01027155824215115,-0.07114904986105787,"ADC, ONB, SCVL, QFIN, PRU, PDD"
L034,UNKNOWN/UNKNOWN :: BCRX-GLXY-IMUX,UNKNOWN,UNKNOWN,2026-04-23 00:00:00-04:00,2026-04-23 00:00:00-04:00,1,-0.6378247572226377,-0.6378247572226377,-0.014078813342847062,-0.08196578762624881,"BCRX, GLXY, IMUX, KVHI, TSBK"
