trade_date,cluster_name,cluster_local_id,momentum_rank,momentum_score,size,overlap_size,coherence,breadth,volume_expansion,return_3d,return_10d,return_20d,relative_strength_10d,last_bar_return,lifecycle_id,lifecycle_age,previous_size,size_change,stage
2026-04-09 00:00:00-04:00,TECH/COMMEQUIP :: ADV-AGM-AIP,0,1,0.9293263114690675,54,54,0.3152750093500084,0.6296296296296297,-0.1974384022620343,0.028870366519177123,0.12476228664793906,0.16022431072790472,0.08954286156837596,0.006798599270249717,L001,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,FINANCIAL/INVESTSVCE :: ABCB-ACEL-ACNB,1,2,0.9077022860743276,386,386,0.5367286340590728,0.8316062176165803,0.23779841664807777,0.04183229853782863,0.06749391837259534,0.08652905192110244,0.032274493293032246,0.011522472825031422,L002,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,MATERIALS/ORE :: ABEV-ACET-ADTN,2,3,0.7034359063116258,172,172,0.46680270166241433,0.6337209302325582,-0.011538770768091648,0.059973847447465964,0.09911329536214274,0.02992520474900653,0.06389387028257965,0.02833097298399487,L003,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,CONSUMERSVCE/HOSPITALITY :: ACIC-APLE-CLDT,3,4,0.6050375181013206,30,30,0.5441641921511007,0.9666666666666667,0.19066004529392952,0.04755859723248613,0.04273484010486377,0.058613058121313885,0.007515415025300669,0.01784051432135791,L004,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,HEALTHCARE/BIOPHARMAOTHER :: AAPL-AARD-ABBV,4,5,0.5367187124596353,267,267,0.3327706810835497,0.6441947565543071,-0.0995444569990007,0.026817717611252963,0.08589193199222829,0.06849832333868303,0.05067250691266519,0.013868524746953834,L005,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,TECH/SEMIMFR :: AAOI-AAON-ACLS,5,6,0.2683600675664789,277,277,0.5540892671200756,0.7942238267148014,-0.17940668096570506,0.07953049236145218,0.048966531813860195,0.1134520102733273,0.013747106734297097,0.017749453886918024,L006,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,FINANCIAL/REIT :: AAT-ADC-AHR,6,7,0.23046745376631644,156,156,0.3174615900368012,0.6794871794871795,-0.11569634684468778,0.03843743834944531,0.06133482282790441,0.030045532230648292,0.02611539774834131,0.006724742771411529,L007,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,INDUSTRIAL/MACHINE :: AAP-ABG-ABM,7,8,0.03487406628407067,374,374,0.5926456726602087,0.7914438502673797,-0.2661858547252711,0.05373225328115469,0.04612117596674091,0.06152955649211484,0.010901750887177812,0.013143191019015295,L008,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,TELECOM/TELECOMGEN :: AKTS-ASC-BOOM,8,9,-0.017870746207682683,36,36,0.351609794229313,0.2222222222222222,-0.17905543547994937,-0.00741479848684168,0.03507979004136767,0.10287389181830212,-0.00013963503819542505,-0.010179045030228992,L009,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,FINANCIAL/BANKSINTL :: A-AAL-AAMI,9,10,-0.04200895961632358,380,380,0.5280594688759978,0.49736842105263157,-0.17174750208544248,0.03313006429456938,0.03679353889224093,0.03824893192268181,0.0015741138126778298,0.00015147625349391395,L010,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,UTIL/ENERGYUTIL :: AAUC-ABT-ACGL,10,11,-0.048258432517134124,233,233,0.1496667807390743,0.7553648068669528,-0.09018005617971236,0.020267527821310277,0.02865529602105973,0.021557220320091903,-0.006564129058503367,0.008535044545834829,L011,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,ENERGY/OILGASINTEG :: AA-ACDC-ACI,11,12,-0.16738782578988304,224,224,0.35947462951605463,0.2544642857142857,0.11431076274763173,-0.030656454117382173,-0.013111243288742297,0.04840748037135036,-0.04833066836830539,-0.01343868474480342,L012,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,NONCYCLICAL/BIOPHARMASYS :: ABR-ACRE-ADAM,12,13,-0.21950791224697047,131,131,0.3263300901454931,0.5877862595419847,0.08083680599954754,0.014013142850924571,-0.006510259241348473,-0.01575697949898896,-0.04172968432091157,0.003442232895687565,L013,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,TECH/SOFTW :: ABNB-ACIW-ACN,13,14,-0.4086294196335003,328,328,0.41313161239785323,0.19207317073170732,0.09725849276106482,-0.03599309903579385,-0.018121185092213634,-0.037109955815358045,-0.05334061017177673,-0.026600146354388093,L014,1,,0.0,Emergence
2026-04-09 00:00:00-04:00,TECH/INTERNET :: ABAT-ABX-ACB,14,15,-0.6121797405703188,307,307,0.41454458005364475,0.36807817589576547,-0.2568140905701356,0.011066668957758636,-0.002220017713753519,-0.001956321425872044,-0.03743944279331662,-0.008423784372822611,L015,1,,0.0,Emergence
