timestamp,source_lifecycle_id,target_lifecycle_id,source_stage,target_stage,source_decay_score,target_expansion_score,migrated_members,migrated_symbols,rewired_edges,rewired_edge_pairs,relative_strength_switch,flow_score,cross_resolution_confirmation,rotation_confidence,source_members,target_members
2026-06-01 18:15:00+00:00,L1235,L1219,maturity,maturity,0.38240781729955753,0.24041221124615975,0,,1,ADTN-AFJK,-1.646453165449202e-05,0.6931471805599453,0.02346368715083799,0.3636523567763272,"AAOI,AAP,ABCL,ABNB,ABT,ACDC,ACEL,ACHC,ACIW,ACM,ACN,ADBE,ADEA,ADMA,ADP,ADSK,ADT,ADTN,AES,AESI,AEXA,AFBI,AGPU,AGRO,AGYS,AI,AIOT,AIRG,AIRJ,AIV,AJG,AKAM,ALKT,ALLT,ALMU,ALOY,ALRM,ALTO,AM,AMBA,AMCX,AMG,AMH,AMN,AMP,AMPG,AMPH","A,AA,AAL,AAON,ABR,ABSI,ACET,ACHR,ACLS,ACMR,ACNB,ADAG,ADI,AEBI,AEG,AEHR,AEIS,AEM,AEVA,AFJK,AFRI,AG,AGI,AGMB,AGX,AIAI,AIP,AIR,AIRO,ALAB,ALC,ALGM,ALHC,ALK,ALV,AMAT,AMD,AMKR,QQQ"
2026-06-01 18:30:00+00:00,L1239,L1240,decay,maturity,0.49707397395190767,0.6519015759471601,1,AAT,6,AAT-ABEO;AAT-AFRI;AAT-AGNC;ACTG-AHRT;ACTG-ALSN;AGO-AHRT,0.0014740102924406528,2.213469798420507,0.009542743538767395,0.8994915261056622,"AAT,ABAT,ACGL,ACHV,ACTG,ACU,AD,ADM,AFG,AFL,AGM,AGO,AIG,ALL,ALMR,ALX,AMAN,AMCI","AAPL,AARD,AAUC,ABBV,ABEO,ACAD,ACCO,ACI,ACRE,ADAM,ADNT,ADPT,AER,AEYE,AFRI,AGCO,AGNC,AGNT,AHCO,AHRT,AKO-B,AKTS,ALAR,ALB,ALG,ALGN,ALGT,ALH,ALSN,ALTG,ALVO,AMBP,AMCR,AMGN"
2026-06-01 18:30:00+00:00,L1243,L1240,decay,maturity,1.011075156303658,0.6519015759471601,0,,2,AAPL-AEO;ABM-ALGN,0.0032443866366520524,1.2013008368977849,0.009542743538767395,0.8006496404305068,"AAMI,ABCB,ABG,ABM,ABX,ACB,ACIC,ACNT,ACT,ACVA,ADT,ADUS,ADV,AENT,AEO,AFCG,AFYA,AIIR,AIN,AIT,ALCO,ALKS,ALLE,ALLY,ALM,ALOT,ALRS","AAPL,AARD,AAUC,ABBV,ABEO,ACAD,ACCO,ACI,ACRE,ADAM,ADNT,ADPT,AER,AEYE,AFRI,AGCO,AGNC,AGNT,AHCO,AHRT,AKO-B,AKTS,ALAR,ALB,ALG,ALGN,ALGT,ALH,ALSN,ALTG,ALVO,AMBP,AMCR,AMGN"
2026-06-01 18:30:00+00:00,L1243,L1235,decay,maturity,1.011075156303658,0.597305627888469,0,,1,ACEL-AFCG,0.002186511585023254,0.7968994249686426,0.017061611374407582,0.6842983332059599,"AAMI,ABCB,ABG,ABM,ABX,ACB,ACIC,ACNT,ACT,ACVA,ADT,ADUS,ADV,AENT,AEO,AFCG,AFYA,AIIR,AIN,AIT,ALCO,ALKS,ALLE,ALLY,ALM,ALOT,ALRS","AAOI,AAP,ABCL,ABT,ACDC,ACEL,ACHC,ACIW,ACM,ACN,ADBE,ADEA,ADP,ADSK,ADTN,AES,AESI,AEXA,AFBI,AGPU,AGRO,AGYS,AI,AIOT,AIRG,AIRJ,AIV,AJG,AKAM,ALKT,ALLT,ALMU,ALOY,ALRM,ALTO,AM,AMBA,AMCX,AMG,AMH,AMN,AMP,AMPG"
2026-06-01 18:30:00+00:00,L1239,L1235,decay,maturity,0.49707397395190767,0.597305627888469,0,,1,ABT-AMCI,0.0004161352408118546,0.7137404384024599,0.017061611374407582,0.5093082318588892,"AAT,ABAT,ACGL,ACHV,ACTG,ACU,AD,ADM,AFG,AFL,AGM,AGO,AIG,ALL,ALMR,ALX,AMAN,AMCI","AAOI,AAP,ABCL,ABT,ACDC,ACEL,ACHC,ACIW,ACM,ACN,ADBE,ADEA,ADP,ADSK,ADTN,AES,AESI,AEXA,AFBI,AGPU,AGRO,AGYS,AI,AIOT,AIRG,AIRJ,AIV,AJG,AKAM,ALKT,ALLT,ALMU,ALOY,ALRM,ALTO,AM,AMBA,AMCX,AMG,AMH,AMN,AMP,AMPG"
2026-06-01 19:00:00+00:00,L1219,L1235,maturity,maturity,0.7476110884054211,0.48875944898445345,0,,1,ADTN-AIP,0.0007833091076463461,0.7315651248327222,0.01839622641509434,0.5565618763874071,"A,AA,AACP,AAON,ABR,ABSI,ABVX,ACA,ACET,ACLS,ACMR,ACR,ADAG,ADC,ADI,ADSE,ADUR,AEBI,AEC,AEE,AEG,AEHR,AEIS,AEM,AERO,AFJK,AG,AGI,AGX,AHR,AIAI,AIP,AIR,AIZ,ALAB,ALC,ALGM,ALHC,ALV,AMBQ,AMD,AME,AMKR,QQQ","AAOI,AAP,ABCL,ABNB,ABT,ACDC,ACEL,ACHC,ACIW,ACM,ACN,ADBE,ADEA,ADMA,ADP,ADSK,ADTN,AES,AESI,AEXA,AFBI,AGPU,AGRO,AGYS,AI,AIOT,AIRG,AIRJ,AIV,AJG,AKAM,ALKT,ALLT,ALMU,ALOY,ALRM,ALTO,AM,AMBA,AMCX,AMG,AMH,AMN,AMP,AMPG,AMPH"
2026-06-01 19:15:00+00:00,L1238,L1235,expansion,maturity,0.7015006845944489,0.6960603952171462,0,,6,ABNB-AGIO;ABT-ADSE;ADSE-AFBI;ADSE-ALRM;ADSE-AMPH;ALNT-AMCX,0.0025818838039413095,1.9821302633168472,0.01839622641509434,0.9175603237349546,"AACP,ABUS,ABVX,ACB,ACGC,ACOG,ACR,ACRS,ADPT,ADSE,AERO,AFRM,AGBK,AGCC,AGEN,AGIO,AGL,AIRS,ALMS,ALNT,ALNY,AMLX","AAOI,AAP,ABCL,ABNB,ABT,ACDC,ACEL,ACHC,ACIW,ACM,ACN,ADBE,ADEA,ADMA,ADP,ADSK,ADTN,AES,AESI,AEXA,AFBI,AGPU,AGRO,AGYS,AI,AIOT,AIRG,AIRJ,AIV,AJG,AKAM,ALKT,ALLT,ALMU,ALOY,ALRM,ALTO,AM,AMBA,AMCX,AMG,AMH,AMN,AMP,AMPG,AMPH"
2026-06-01 19:30:00+00:00,L1240,L1239,decay,expansion,1.0196551915389636,0.7036836094577772,0,,8,ABCB-AGNT;ABEO-AIRO;ACAD-AGNT;ACRE-ALLE;ADM-ALKS;ADUS-AFCG;ALL-ALLY;ALMR-ALOT,0.005380229908041656,2.255286230316005,0.010865191146881288,1.0824529765500557,"ABCB,ABG,ABM,ACAD,ACNT,ACR,ADT,ADUS,ADV,AENT,AGCO,AIN,AIRO,AIT,AKO-B,ALB,ALG,ALGN,ALH,ALKS,ALLE,ALLY,ALOT,ALSN,ALTG","AAT,ABAT,ABEO,ABEV,ABX,ACGL,ACIC,ACRE,ACT,ACTG,ACU,AD,ADM,AEYE,AFCG,AFG,AFL,AFYA,AGM,AGNT,AGO,AIG,AIIR,AIZ,AKTS,ALL,ALMR,ALRS,AMCI"
2026-06-02 14:30:00+00:00,L1255,L1219,expansion,expansion,0.38670978443802856,0.5660586125593228,1,AMAN,25,AAMI-AAUC;AAMI-AIN;AAT-AFRI;AAT-ALM;AAUC-ALLE;AAUC-AMP;ACA-ACLS;ACGL-AMP;ACI-ADM;ACI-AMBQ;ACRS-AEE;ACT-ALH;ACTG-AMBP;ADC-AEE;ADT-ALGN;AER-ALLE;AGI-AHRT;AIG-AM;AIN-AKAM;AIN-AMG;AIRG-AKR;AIT-ALGN;ALAB-AMAN;ALGN-AMG;ALL-AMP,0.002291845506988466,3.340356355936001,0.035199999999999995,1.1261996080832055,"AAL,AAP,AAPG,AAT,AAUC,ABBV,ACA,ACCO,ACGC,ACGL,ACI,ACIC,ACRS,ACTG,AD,ADC,AEBI,AEM,AER,AEXA,AFG,AFL,AG,AGI,AGMB,AGO,AHCO,AIAI,AIG,AIIR,AIN,AIRG,AIZ,AKTS,ALB,ALGN,ALH,ALL,ALMR,ALOT,AMAN,AMCI,AMGN,AMH","AA,AAMI,AAOI,AAON,AAPL,ABAT,ABCB,ABEV,ACDC,ACHC,ACLS,ACMR,ACNT,ACRE,ACT,ADAM,ADEA,ADI,ADM,ADNT,ADT,ADTN,AEC,AEE,AEG,AEHR,AEIS,AEP,AESI,AEVA,AFRI,AGCO,AGM,AGNC,AHRT,AIP,AIR,AIRO,AIRS,AIT,AKAM,AKR,ALAB,ALG,ALGM,ALLE,ALLY,ALM,ALMU,ALNT,ALOY,ALSN,ALV,AM,AMAL,AMAT,AMBA,AMBP,AMBQ,AMCR,AME,AMG,AMKR,AMP"
2026-06-02 15:00:00+00:00,L1247,L1219,maturity,maturity,1.133064305191178,0.3682532664613819,0,,2,ADNT-ALX;AII-AMAN,0.00286812600097619,1.1899182806131297,0.03529411764705882,0.7531689592961092,"A,AARD,ABCL,ABEO,ABNB,ABSI,ABT,ABUS,ABVX,ABX,ACAD,ACB,ACET,ACHR,ACHV,ACIW,ACM,ACN,ACR,ACVA,ADBE,ADMA,ADP,ADPT,ADSE,ADSK,AEO,AEYE,AFCG,AFRM,AGBK,AGEN,AGIO,AGL,AGNT,AGYS,AHR,AI,AII,AIOT,AIV,AJG,ALAR,ALC,ALGT,ALK,ALKS,ALKT,ALLT,ALMS,ALNY,ALRM,ALTO,ALX,AMCX,AMLX,AMN,AMPH,QQQ","AA,AAOI,AAON,AAPL,ABAT,ABCB,ABEV,ACDC,ACHC,ACLS,ACMR,ACNT,ACRE,ACT,ADAM,ADEA,ADI,ADM,ADNT,ADTN,AEC,AEE,AEG,AEHR,AEIS,AEP,AESI,AEVA,AFRI,AGCO,AGM,AGNC,AGX,AHRT,AIP,AIR,AIRJ,AIRO,AIRS,AIT,AKAM,AKR,ALAB,ALG,ALGM,ALLY,ALM,ALMU,ALNT,ALOY,ALSN,ALV,AM,AMAL,AMAN,AMAT,AMBA,AMBP,AMBQ,AMCR,AME,AMG,AMKR"
