epoch,train_loss,val_auc,val_ap,val_f1
1,0.1966388377576546,0.8600386457066314,0.9885166423714037,0.9659452577975811
2,0.1750403671468482,0.855137107576714,0.9880555339280824,0.9707583547557841
3,0.16453634912766288,0.8479006605182529,0.9873835432873114,0.9707583547557841
4,0.16412370637522838,0.8485781151364917,0.9874446670859768,0.9707583547557841
5,0.16504404317042648,0.8600086221496865,0.9885264042097414,0.9707583547557841
6,0.16520365363893844,0.8625413786201481,0.9887415466163234,0.9707489553198329
7,0.16441472346983915,0.8595382530908867,0.9884696224787055,0.9707583547557841
8,0.1662507180173324,0.8624844108454326,0.9887489200804226,0.9707489553198329
9,0.1645673241824172,0.8602680564750805,0.9885367884018742,0.9707583547557841
10,0.16430075814557063,0.8630148270181218,0.988785790581771,0.9707583547557841
