trade_date,graph_layer,community_count,min_member_count,avg_member_count,max_member_count,shard_file
2025-01-14,dtw_trade_flow_similarity_graph,697,2,42.63035388544327,85,community_member_symbols/2025-01-14__dtw_trade_flow_similarity_graph.csv
2025-01-14,flow_alignment_graph,532,2,3466.2355206304433,3658,community_member_symbols/2025-01-14__flow_alignment_graph.csv
2025-01-14,large_trade_alignment_graph,9,2,2.652173913043478,3,community_member_symbols/2025-01-14__large_trade_alignment_graph.csv
2025-01-14,return_corr_graph,2318,2,2536.6855173933513,3280,community_member_symbols/2025-01-14__return_corr_graph.csv
2025-01-14,volume_expansion_graph,2980,2,110.35890683937086,429,community_member_symbols/2025-01-14__volume_expansion_graph.csv
2025-01-15,dtw_return_similarity_graph,250,2,46.05201082753287,65,community_member_symbols/2025-01-15__dtw_return_similarity_graph.csv
2025-01-15,dtw_trade_flow_similarity_graph,673,2,42.44969731911213,78,community_member_symbols/2025-01-15__dtw_trade_flow_similarity_graph.csv
2025-01-15,flow_alignment_graph,672,2,3459.511569596143,3636,community_member_symbols/2025-01-15__flow_alignment_graph.csv
2025-01-15,large_trade_alignment_graph,3,4,5.5,6,community_member_symbols/2025-01-15__large_trade_alignment_graph.csv
2025-01-15,return_corr_graph,2724,2,2531.1223000712935,3282,community_member_symbols/2025-01-15__return_corr_graph.csv
2025-01-15,volume_expansion_graph,3427,2,127.0417139783661,527,community_member_symbols/2025-01-15__volume_expansion_graph.csv
2025-01-16,dtw_return_similarity_graph,258,2,46.64617125612976,63,community_member_symbols/2025-01-16__dtw_return_similarity_graph.csv
2025-01-16,dtw_trade_flow_similarity_graph,673,2,43.744923857868024,90,community_member_symbols/2025-01-16__dtw_trade_flow_similarity_graph.csv
2025-01-16,flow_alignment_graph,505,2,3465.6951014682504,3596,community_member_symbols/2025-01-16__flow_alignment_graph.csv
2025-01-16,return_corr_graph,2282,2,2560.97386901519,3237,community_member_symbols/2025-01-16__return_corr_graph.csv
2025-01-16,volume_expansion_graph,3087,2,155.2974185577736,563,community_member_symbols/2025-01-16__volume_expansion_graph.csv
2025-01-17,dtw_return_similarity_graph,257,2,45.60378451438502,62,community_member_symbols/2025-01-17__dtw_return_similarity_graph.csv
2025-01-17,dtw_trade_flow_similarity_graph,727,2,39.57627118644068,83,community_member_symbols/2025-01-17__dtw_trade_flow_similarity_graph.csv
2025-01-17,flow_alignment_graph,598,2,3484.3656672632883,3675,community_member_symbols/2025-01-17__flow_alignment_graph.csv
2025-01-17,large_trade_alignment_graph,1,3,3.0,3,community_member_symbols/2025-01-17__large_trade_alignment_graph.csv
2025-01-17,return_corr_graph,2253,2,2568.74979717993,3269,community_member_symbols/2025-01-17__return_corr_graph.csv
2025-01-17,volume_expansion_graph,3090,2,91.11115954664342,391,community_member_symbols/2025-01-17__volume_expansion_graph.csv
2025-01-21,dtw_return_similarity_graph,250,2,44.92016477049823,61,community_member_symbols/2025-01-21__dtw_return_similarity_graph.csv
2025-01-21,dtw_trade_flow_similarity_graph,751,2,41.21454027084818,83,community_member_symbols/2025-01-21__dtw_trade_flow_similarity_graph.csv
2025-01-21,flow_alignment_graph,704,2,3502.644913973473,3702,community_member_symbols/2025-01-21__flow_alignment_graph.csv
2025-01-21,large_trade_alignment_graph,14,2,3.5,5,community_member_symbols/2025-01-21__large_trade_alignment_graph.csv
2025-01-21,return_corr_graph,2960,2,2542.190810995557,3437,community_member_symbols/2025-01-21__return_corr_graph.csv
2025-01-21,volume_expansion_graph,3072,2,152.11180569121572,534,community_member_symbols/2025-01-21__volume_expansion_graph.csv
2025-01-22,dtw_return_similarity_graph,260,2,43.93392243495336,66,community_member_symbols/2025-01-22__dtw_return_similarity_graph.csv
2025-01-22,dtw_trade_flow_similarity_graph,697,2,42.0709695844638,84,community_member_symbols/2025-01-22__dtw_trade_flow_similarity_graph.csv
2025-01-22,flow_alignment_graph,587,2,3508.50061220275,3690,community_member_symbols/2025-01-22__flow_alignment_graph.csv
2025-01-22,large_trade_alignment_graph,5,2,2.8461538461538463,4,community_member_symbols/2025-01-22__large_trade_alignment_graph.csv
2025-01-22,return_corr_graph,2381,2,2611.3616255244415,3293,community_member_symbols/2025-01-22__return_corr_graph.csv
2025-01-22,volume_expansion_graph,3229,2,104.58746870385825,427,community_member_symbols/2025-01-22__volume_expansion_graph.csv
2025-01-23,dtw_return_similarity_graph,253,2,46.028945090874124,77,community_member_symbols/2025-01-23__dtw_return_similarity_graph.csv
2025-01-23,dtw_trade_flow_similarity_graph,721,2,41.603169986912896,82,community_member_symbols/2025-01-23__dtw_trade_flow_similarity_graph.csv
2025-01-23,flow_alignment_graph,533,2,3492.8195488721803,3667,community_member_symbols/2025-01-23__flow_alignment_graph.csv
2025-01-23,return_corr_graph,2166,2,2553.3159239370016,3215,community_member_symbols/2025-01-23__return_corr_graph.csv
2025-01-23,volume_expansion_graph,3670,2,107.83646683221001,493,community_member_symbols/2025-01-23__volume_expansion_graph.csv
