run_id,snapshot_id,trade_date,snapshot_timestamp,snapshot_clock_code,available_minutes_since_open,graph_layer,summary_edge_count,summary_node_count,summary_avg_weight,summary_median_weight,summary_p90_weight,threshold,top_k_per_symbol,effective_lookback_minutes,active_node_count,average_degree,degree_p50,degree_p95,max_degree,average_edge_weight,edge_weight_p50,edge_weight_p90,support_points_p50,support_points_p90,community_count,community_size_p50,community_size_p95,community_size_max,singleton_community_count,largest_community_ratio,has_market_mode_cluster
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,dtw_return_similarity_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,dtw_trade_flow_similarity_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,flow_alignment_graph,1292,794,0.9303290259975713,0.9430910551261191,0.9785370480889718,,,,794,3.2544080604534007,3.0,6.0,6,0.9303290259975713,0.9430910551261191,0.9785240431589766,8.0,11.0,14,3.5,355.65,368,0,0.4634760705289673,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,large_trade_alignment_graph,1,2,1.0,1.0,1.0,,,,2,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,2,0,1.0,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,return_corr_graph,735,511,0.8389786832882342,0.844604375017078,0.9526573149146392,,,,511,2.8767123287671232,3.0,6.0,6,0.8389786832882342,0.844604375017078,0.952611555410682,9.0,13.0,5,2.0,402.7999999999999,503,0,0.9843444227005871,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1435,2025-01-02,2025-01-02 22:35:00,1435,5,volume_expansion_graph,444,423,0.9789268302983515,1.0,1.0,,,,423,2.099290780141844,1.0,5.0,6,0.9789268302983515,1.0,1.0,2.0,3.0,41,4.0,23.0,205,0,0.4846335697399527,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,dtw_return_similarity_graph,281,157,0.9999786537635373,1.0,1.0,,,10,157,3.5796178343949046,3.0,6.0,6,0.9999786537635373,1.0,1.0,1.0,1.0,5,33.0,60.4,61,0,0.3885350318471338,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,dtw_trade_flow_similarity_graph,253,175,0.9958064052180813,1.0,1.0,,,10,175,2.8914285714285715,3.0,6.0,6,0.9958064052180813,1.0,1.0,1.0,2.0,31,2.0,26.0,38,0,0.21714285714285714,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,flow_alignment_graph,2081,1410,0.9408141909686882,0.9532441252875141,0.9979836828965102,,,,1410,2.9517730496453902,3.0,6.0,6,0.9408141909686882,0.9532441252875141,0.9979836828965102,9.0,10.0,44,3.0,10.0,1234,0,0.875177304964539,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,large_trade_alignment_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,return_corr_graph,836,561,0.8451283499465403,0.8550866916317602,0.9461590053359489,,,,561,2.980392156862745,3.0,6.0,6,0.8451283499465403,0.8550866916317602,0.9453062836468724,9.0,13.0,5,2.0,442.7999999999999,553,0,0.9857397504456328,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1440,2025-01-02,2025-01-02 22:40:00,1440,10,volume_expansion_graph,573,501,0.9717390456277378,1.0,1.0,,,,501,2.287425149700599,2.0,6.0,6,0.9717390456277378,1.0,1.0,2.0,3.0,27,3.0,16.799999999999997,398,0,0.7944111776447106,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1445,2025-01-02,2025-01-02 22:45:00,1445,15,dtw_return_similarity_graph,246,137,1.0,1.0,1.0,,,15,137,3.591240875912409,3.0,6.0,6,1.0,1.0,1.0,1.0,1.0,3,51.0,54.599999999999994,55,0,0.40145985401459855,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1445,2025-01-02,2025-01-02 22:45:00,1445,15,dtw_trade_flow_similarity_graph,179,121,0.9941871840571521,1.0,1.0,,,15,121,2.958677685950413,3.0,5.0,6,0.9941871840571521,1.0,1.0,1.0,1.200000000000017,20,2.0,27.0,27,0,0.2231404958677686,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1445,2025-01-02,2025-01-02 22:45:00,1445,15,flow_alignment_graph,3094,2156,0.9173707485399577,0.9458821199915819,0.9896370940881649,,,,2156,2.8701298701298703,3.0,6.0,6,0.9173707485399577,0.9458821199915819,0.9896361442395761,9.0,12.0,26,2.0,6.5,2094,0,0.9712430426716141,true
full-market-graph-build-v2_2025-01-02,full-market-graph-build-v2_2025-01-02_2025-01-02_1445,2025-01-02,2025-01-02 22:45:00,1445,15,large_trade_alignment_graph,0,0,0.0,0.0,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,false
