exit_standard,total_return,annualized_return,sharpe,max_drawdown,win_rate,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
Relative Strength Exit,0.1569741938610024,0.9120640644374823,3.057353479262029,-0.0575677887738842,0.6464396638796561,2.566456334778578,0.03409889042120813,0.011840630746124103,0.017279138429126092
Breadth Breakdown,0.1482417094486735,0.8504027797374781,2.88921046675071,-0.060192443771688066,0.6470299917616684,2.9304267698067523,0.03803668099522627,0.02715153480660173,0.04413400516740611
No Signal Exit,0.14931857607867388,0.8555933637596662,2.8468812774027077,-0.06100307525894565,0.6385561221672017,3.157837912245417,0.042541076231970246,0.03222217979257595,0.05013702818479159
Rotation-out Exit,0.14378842944957881,0.8062594378960053,2.795455497624151,-0.06118358491248266,0.6455863315417574,2.9521141935756745,0.039759327851783974,0.02056036633911773,0.03196063913176172
Lifecycle Exit,0.14317238353571896,0.8096963022356043,2.7857363780371074,-0.060310537220093975,0.6455121741756346,2.860996234201701,0.03685436990523606,0.011840630746124103,0.017813200511550855
Composite Structural Exit,0.12668219775365383,0.6979358494180448,2.6396128367998752,-0.0623204224119911,0.6487628428875765,2.616280730766076,0.03469010522787327,0.01842049790996758,0.029078895487966234
Coherence Breakdown,0.11232641421612398,0.6013133139627729,2.3515752598269435,-0.06065247682625912,0.6255366729959465,2.6446742592143178,0.0356313936866323,0.0009312416184169077,0.0018191449703954588
